jugador_id,sesiones_semana,duracion_sesion_min,velocidad_apuestas_min,num_juegos_distintos,apuesta_promedio_mxn,num_depositos_mes,pct_juego_madrugada,pct_incremento_tras_perdida,retiros_mes,ratio_perdida_pct,dias_desde_registro,deposito_mensual_mxn
JUG0392,18,102,15.8,3,168,7,46.5,23.8,0.9,77.5,158,NA
JUG0059,2,15,1.7,2,15,0,0.9,0,1.2,24.6,483,140
JUG0090,4,14,2.7,2,34,1,2.7,2.8,1.5,24.6,543,0
JUG0268,8,42,6.1,8,114,3,13.5,11.2,1.4,46.1,824,355
JUG0435,15,98,10.1,4,273,11,28.7,43.6,0,66.9,439,2892
JUG0404,11,116,17,5,372,9,35.9,53.8,0,78.7,274,3459
JUG0296,7,29,6.2,5,106,3,11.7,6.6,4.1,73.7,1061,533
JUG0287,4,57,5.6,5,135,2,9.2,9.3,4.6,48.6,950,299
JUG0207,4,48,7.1,6,110,1,5,6.3,2.5,33.6,256,293
JUG0134,2,21,2.6,2,55,2,5.9,4.3,0.7,17.3,304,167
JUG0400,9,88,15.9,3,160,7,27.1,37.7,0,71.1,479,946
JUG0150,0,17,3.9,3,52,2,5.9,0.7,0.3,41.7,562,0
JUG0187,3,8,5,2,18,1,5.2,1.1,0.6,30.8,254,428
JUG0021,2,13,2.5,2,42,1,9.1,4.1,0.6,26,397,0
JUG0388,12,98,12.8,4,254,3,47.4,49.8,0.7,84.3,270,1150
JUG0395,11,143,15.3,6,59,4,40.5,46.1,0.5,61.8,502,302
JUG0358,10,101,14.5,5,206,8,32.9,39.3,0.2,60,110,1634
JUG0282,7,42,4.2,6,59,3,11.3,7.4,0.9,54.8,677,23
JUG0215,4,43,7.8,8,127,3,9.7,2.9,3.5,15.1,578,355
JUG0386,7,123,15.2,6,291,6,46.2,35.2,0.2,89.7,450,1755
JUG0100,2,9,3.5,1,64,2,7.5,3,0.3,23.5,295,231
JUG0166,2,23,2.7,3,50,3,6.7,1.2,1.5,41.5,553,308
JUG0248,3,38,7.6,7,122,4,10.3,8.1,2.9,47.3,419,285
JUG0171,2,0,2.6,3,23,1,1.5,0,0.1,16.2,513,0
JUG0456,5,57,9.7,7,2035,1,14.5,7.3,2.3,32.8,734,2738
JUG0124,3,23,4.5,1,24,1,1.3,1,1.3,15.9,313,349
JUG0465,6,49,8.9,6,1345,4,16.1,0.3,0.1,58.8,1008,5019
JUG0379,11,116,16.3,5,247,9,30,31.1,0.4,64.3,219,1822
JUG0462,6,45,7.3,4,1656,5,1.6,11.4,2.2,71,1042,7880
JUG0292,4,54,4.8,3,141,2,15.9,6.9,1.8,32.5,348,151
JUG0249,7,32,7,2,119,3,16.2,5.4,1.3,27,610,699
JUG0003,2,18,4.3,1,41,2,10.3,5.7,1.7,25.4,487,60
JUG0365,15,107,15.1,5,246,4,37.3,23,0.9,78.5,264,1050
JUG0181,1,35,2.6,1,65,1,2.8,1.9,1.1,27.3,472,325
JUG0088,1,23,3.9,2,57,2,3,0.5,0.6,47.2,656,136
JUG0041,1,24,0.9,2,21,1,9.8,3.9,1.2,29.4,614,0
JUG0467,1,105,9.2,1,1340,3,18.3,9.4,1.8,35.7,876,NA
JUG0278,4,59,5.5,6,180,3,11.4,0,0.6,55.6,625,284
