municipio,pct_urbano,pct_ocupados_primario,pct_ocupados_servicios,densidad_pob_km2,pct_poblacion_indigena,escolaridad_prom_anios,pct_viviendas_internet,pct_agua_entubada,tasa_mort_infantil,pib_per_capita_mxn,gasto_pub_per_capita_mxn,indice_rezago_social
Municipio_039,91.9,22,66.9,1372.8,0,11.3,76.2,100,8.6,222363,8419,-1.4
Municipio_045,75,0.7,75.6,1187.7,0,12.2,72.5,87.9,7.3,230484,7117,-0.96
Municipio_290,82.5,0.7,71.2,1592.8,8.4,7.7,16.2,65,19.3,108748,7494,0.86
Municipio_047,93.5,0,74.4,1751.5,10.9,11.1,81.6,100,9.9,267152,7876,-1.22
Municipio_400,11.8,51.3,32,5,30.7,5.7,14.1,68.6,19.6,44994,5639,1.28
Municipio_006,54.8,25,69.8,1128.9,0,11.9,71,94.1,5.8,200446,8124,-1.14
Municipio_323,20.9,42.6,30.5,410.5,29.6,6.4,24.8,62,19.4,66326,8486,1.02
Municipio_363,0,53.1,37.4,374.4,31.6,7.1,25.1,75.8,23.3,111501,5914,0.66
Municipio_012,76.2,14.9,77.2,915.9,1.9,11.2,74.7,96.5,6.6,208535,9655,-0.91
Municipio_093,79.3,13.2,78.8,1356.6,9.3,8.9,69.9,92.7,5.3,NA,8713,-0.56
Municipio_226,98.8,0,74.5,1330.2,3.1,5.8,37.6,64.9,24.6,39767,5594,0.85
Municipio_131,24.4,51,8.9,44.1,18.3,11.3,77.8,89.8,9.6,188823,8260,-1.19
Municipio_208,77.9,8.5,75.1,1213.7,5.3,7.7,22.8,56.1,19.5,79014,8430,0.88
Municipio_346,33.8,62.8,16.7,492.1,40.2,7.6,20.1,67,18.6,74593,7725,0.88
Municipio_267,85.2,2.2,82,1637.1,0.7,7.4,20.5,64.9,17.1,88415,5290,0.85
Municipio_098,79.1,19,60.8,1263,0.4,11.8,70.4,98.7,7.4,172250,5738,-0.98
Municipio_329,29.4,53.1,34.5,78.6,42.4,6.9,27.1,62.8,18.6,54082,9768,0.8
Municipio_060,73,0,44.7,1434.2,0,9.8,59.1,97.6,5.2,NA,8177,-0.78
Municipio_296,99,12.5,90.9,1489.2,5.2,6.4,21.5,66.2,23.4,105693,9425,1.25
Municipio_327,37.9,62.7,37.7,5,37.3,7.4,30.9,69.5,22.8,52162,4588,0.83
Municipio_376,22.8,39,30,5,36.6,6.6,8.1,70.8,23.8,47792,7386,1.02
Municipio_188,32.9,50.8,17.3,11,37.9,12.4,77.2,96,6.4,289771,7066,-0.97
Municipio_263,77.2,5,68,1238,2.3,8.5,35.4,62.4,21.6,68263,6126,0.52
Municipio_244,93.8,12.7,59.5,1181.9,0.4,6.8,9.5,69.9,23,59363,7933,1.03
Municipio_209,83.6,15.5,69.1,1877.6,9,7.4,14.2,73.3,19.2,111359,7644,0.95
Municipio_210,100,0,77.9,866.8,5.1,7.3,23.7,65,17.9,52538,8372,0.89
Municipio_212,94.4,12.9,80.1,1632.8,8.1,6.5,23.7,58.5,23.8,87973,5309,1.33
Municipio_126,30.6,50.7,19.4,5,38.1,11.1,78,92.1,5.2,230988,8219,-0.85
Municipio_155,31.9,61.8,25.1,5,34.5,12.4,81.8,93.3,6.6,233477,6331,-1.45
Municipio_145,38.9,67.4,21.7,16.2,26.5,11.5,84.2,89.8,11,205160,7413,-0.99
Municipio_112,10.7,38.7,21.7,5,35.3,12.5,58.2,89.9,8.7,224729,6527,-1.18
Municipio_086,95.2,0,86.3,1949.4,0,11.2,74,88,8.4,179725,7294,-0.92
Municipio_204,62.7,0,70.6,1749.3,6.7,6,23.3,67.3,23.1,119631,6781,1.02
Municipio_174,19.2,44,28.5,5,38.9,11.7,89.7,91.9,3,252739,7619,-1.14
Municipio_306,15.9,54.9,29.8,147.2,35.2,6.7,15.5,65.3,18.7,80709,7795,0.93
Municipio_167,32.3,58,49.7,123.2,29.4,12.3,68.1,92.8,4.7,168090,7599,-0.89
Municipio_241,88.2,0,53.5,1104.6,3.8,7.2,11.1,77.4,22.2,86216,7312,0.87
Municipio_284,86,11.8,85,1637.6,2.5,6.8,0.2,59.9,25.7,74538,7950,1.32
Municipio_091,61.5,0,85.1,1208.4,0,11.7,50.5,100,10.1,212197,9171,-0.8
Municipio_092,100,2,76.8,1260.7,6.2,10.4,78.8,91.8,4.8,260568,6530,-0.74
Municipio_294,91.5,21.4,69,1341.8,0,6,20.5,71.4,25.7,112635,7652,0.83
Municipio_318,8.5,31.5,39.5,251.5,33.9,5.3,19.2,77.7,18.8,63228,7564,1.08
Municipio_277,90.5,19.1,66.6,1321.1,0,6.7,18.5,67,15.9,78341,7388,1
Municipio_304,36.5,53.4,15,134.2,34.2,5.9,27.2,69.8,18.6,96765,8697,0.86
Municipio_102,19.1,51.7,22,5,41.1,11.3,78.3,93.8,5.5,284303,9101,-1.2
Municipio_262,92.4,8,81.3,1389.5,0,5.8,28.7,61.3,24.9,32832,8378,1.17
Municipio_270,76.2,14.1,79.6,1608,0.8,5.9,24.3,70,18.2,57279,6717,0.87
Municipio_021,81.1,0,96.3,1999.6,0,11.5,69.3,85,10.6,204927,7054,-0.98
Municipio_356,23.5,70.7,20.2,5,22.3,7.3,9.1,66.3,18,34930,9045,0.88
Municipio_081,71.1,0,75.2,1263.8,7.8,11.3,81.9,86.5,8.1,218744,9961,-0.92
Municipio_331,1.6,56.5,23.1,5,31,5.8,12.2,63.1,20.6,128515,9174,1.42
Municipio_256,77.4,0,63.1,1715.4,0,6.9,9.1,65.6,18.9,82004,8995,0.9
Municipio_031,78.7,9.9,72.5,1371.4,6.1,12.8,78.6,96.8,8.1,236040,6890,-1.51
Municipio_052,82.5,0,74.1,1334.6,0,11,78.3,97.1,7.8,258199,4795,-1.12
Municipio_324,44.4,49.1,40.6,5,34.9,5.6,32.3,62.6,21.7,39741,8109,0.93
Municipio_071,91.2,6.1,71.6,2061.2,0,11.3,75.6,100,11.9,166372,7869,-1.31
Municipio_393,0,65.9,32.6,273.4,34.3,5.8,8.7,72.4,23.4,39075,7660,1.05
Municipio_259,80.9,0,61.6,1402.4,0,7,21.7,61.9,12.9,36144,7814,1.02
Municipio_184,37.2,48,26.8,5,45.5,10.8,72,97.9,11.3,NA,8439,-1.04
Municipio_171,20.3,33.8,36.4,465.2,37.1,10.3,76.5,100,6.4,163767,5927,-0.98
Municipio_224,75.7,1.1,79.7,1943.9,4.5,6.8,15.1,72.5,23.3,65240,7357,0.68
Municipio_254,83.8,14.2,76.2,1225,8.5,6.1,8,75.9,26.2,41221,6383,1.05
Municipio_049,94.6,1.8,71.4,1664.2,0,9.8,72.7,97.6,4.7,277528,5899,-0.7
Municipio_161,41.9,56,7.3,31.2,26.3,10.7,69.3,97.9,3,244804,6425,-0.87
Municipio_380,34.1,63.7,40.8,83.7,41,7.2,27.6,63,24.6,134300,9037,0.88
Municipio_264,83.3,14.1,76.4,2077.4,0.6,7.6,16.6,67,21.9,40799,7758,0.58
Municipio_018,87.6,0,68.7,1057.2,0,12.1,89.6,100,10.2,272120,7388,-1.53
Municipio_116,22.6,67.1,16,5,33.3,12.6,83.2,84.7,6,146692,7537,-1.1
Municipio_373,28.9,61,26.6,327.7,35.4,7.4,28.3,66,24,75928,7485,0.45
Municipio_216,94.4,20,62.3,1376.1,7,7,25.7,63.6,19.2,79219,7073,0.92
Municipio_037,92.1,4.1,55.8,1617.1,1.8,12.1,72.3,91.2,12.2,NA,6356,-1.08
Municipio_199,72.5,18.1,80.8,1460.3,0,4.4,24.2,61.5,26.2,98403,7520,1.38
Municipio_173,35.5,45.2,21.9,335.9,48.2,12.9,67.1,100,6.4,200937,7584,-1.06
Municipio_017,92.4,0,76.6,1327.8,4.4,12.6,53.5,96.1,1,196739,7046,-0.99
Municipio_110,12.4,45.7,12.9,5,29.6,10.6,72.1,90.5,10.8,184798,5671,-0.81
Municipio_141,29.5,50.2,25.1,5,26.6,10.2,63.3,100,7.4,255307,6008,-0.74
Municipio_319,33.8,61.2,16.3,465.6,36.2,6.3,39.5,66.7,21.1,73869,8554,0.72
Municipio_121,47.9,64.3,20.9,5,30.6,11.7,63.1,92.6,8.1,191518,6056,-0.92
Municipio_370,30.8,47.8,30,345.7,28.7,7.8,31.7,67.2,16.8,46770,6076,0.59
Municipio_142,26.9,47.1,13,220.4,24.2,10.2,71.3,90.6,12.4,318849,7536,-1.05
Municipio_233,91,3.5,79.2,1962.4,0,6.5,10.8,72.2,22.6,101189,7627,1.2
Municipio_075,90.3,21.8,77.8,965.6,0,10.3,82.3,94.8,6.1,283665,8341,-0.72
Municipio_034,89,4.6,71.6,1658.5,3.2,12.5,85.1,82.7,9.2,NA,6237,-1.26
Municipio_083,71.1,6.7,77.1,1144.8,1.8,10.9,76.2,90.6,11.4,238363,7725,-0.88
