id,edad,genero,region,nivel_educacion,departamento,años_experiencia,ingreso_mensual,gastos_mensual,score_desempeño,horas_extras_semana,num_dependientes
1,39,Femenino,Occidente,Doctorado,Finanzas,11,34900,17200,89.0,1.7,2
2,47,Masculino,Occidente,Preparatoria,Operaciones,15,7500,5100,60.5,19.6,1
3,26,Femenino,Centro,Posgrado,Operaciones,2,18400,11700,82.3,2.6,3
4,33,Masculino,Norte,Licenciatura,Operaciones,5,14700,11800,77.4,18.0,2
5,39,Femenino,Norte,Licenciatura,Operaciones,10,13100,8200,82.4,23.8,3
6,61,Masculino,Centro,Posgrado,TI,22,9900,7800,80.5,4.6,0
7,54,Femenino,Norte,Licenciatura,RH,21,10500,4800,82.6,20.5,2
8,38,Masculino,Centro,Preparatoria,RH,12,,4200,78.2,26.0,1
9,48,Masculino,Centro,Posgrado,Marketing,13,10700,6300,50.7,18.9,2
10,42,Femenino,Occidente,Posgrado,Finanzas,14,18300,13100,47.3,17.4,1
11,30,Masculino,Norte,Posgrado,Ventas,5,8700,7300,80.0,4.0,0
12,32,Femenino,Occidente,Licenciatura,Ventas,7,17600,9200,58.0,1.6,2
13,,Femenino,Sur,Secundaria,Finanzas,6,2600,2000,72.3,18.1,0
14,39,Femenino,Norte,Secundaria,Ventas,12,5200,3600,53.1,1.5,1
15,42,Femenino,Centro,Posgrado,Finanzas,16,5900,4500,85.8,4.5,1
16,22,Femenino,Centro,Licenciatura,Marketing,4,12100,8400,,2.2,2
17,51,Masculino,Norte,Licenciatura,RH,22,8300,4000,54.9,2.7,2
18,40,Femenino,Centro,Doctorado,Marketing,11,24800,19100,65.0,0.1,0
19,38,Femenino,Norte,Licenciatura,Operaciones,9,5300,3200,98.0,0.0,2
20,37,Masculino,Occidente,Licenciatura,Ventas,11,8000,6100,78.9,1.8,4
21,56,Femenino,Centro,Preparatoria,Operaciones,24,,7300,57.5,14.0,0
22,38,Femenino,Norte,Licenciatura,Operaciones,10,10400,5900,91.5,1.0,1
23,38,Masculino,Occidente,Preparatoria,RH,16,5700,3100,73.2,2.5,1
24,47,Masculino,Sur,Posgrado,Marketing,16,20500,13600,20.1,20.0,3
25,40,Masculino,Norte,Preparatoria,Finanzas,14,6300,4100,70.7,22.5,1
26,48,Masculino,Occidente,Posgrado,RH,18,26800,19600,75.0,2.3,0
27,41,Masculino,Centro,Licenciatura,Ventas,12,13200,4300,70.2,20.7,1
28,41,Femenino,Centro,Doctorado,TI,10,37900,24000,92.8,4.4,0
29,52,Femenino,Centro,Posgrado,RH,18,13100,8000,91.8,27.0,1
30,39,Masculino,Centro,Posgrado,Ventas,15,41800,35000,76.5,4.3,2
31,31,Masculino,Sur,Doctorado,Ventas,1,13500,7000,68.6,2.2,2
32,27,Femenino,Norte,Licenciatura,Finanzas,4,4700,2800,79.4,0.7,3
33,41,Femenino,Centro,Licenciatura,Ventas,13,18500,11400,69.0,17.9,2
34,30,Masculino,Occidente,Licenciatura,Finanzas,0,9600,6300,90.5,25.0,3
35,47,Femenino,Centro,Licenciatura,TI,13,7400,5900,,24.9,4
36,43,Femenino,Centro,Licenciatura,Operaciones,16,25600,13100,74.2,17.8,0
37,37,Femenino,Sur,Licenciatura,Operaciones,10,8000,5100,78.8,23.2,0
38,33,Femenino,Occidente,Posgrado,Operaciones,10,15000,13200,71.6,19.6,3
39,39,Femenino,Norte,Preparatoria,Finanzas,9,8100,5700,78.1,19.1,0
40,46,Masculino,Centro,Secundaria,RH,17,386101,307800,67.3,12.4,0
41,49,Femenino,Norte,Secundaria,Finanzas,17,6800,4500,90.4,15.9,1
42,28,Femenino,Occidente,Posgrado,TI,0,9900,6200,89.4,20.3,5
43,59,Femenino,Centro,Preparatoria,Ventas,19,5400,2000,34.7,2.0,1
44,34,Femenino,Norte,Licenciatura,TI,10,17000,12600,60.5,1.2,1
45,28,Femenino,Centro,Posgrado,Marketing,0,22300,16300,96.7,2.0,1
46,56,Masculino,Norte,Posgrado,Operaciones,20,17100,11500,69.6,4.1,0
47,52,Femenino,Centro,Posgrado,Operaciones,20,11300,7700,78.7,1.0,0
48,49,Femenino,Occidente,Licenciatura,TI,11,5100,3500,70.2,2.8,1
49,33,Masculino,Centro,Preparatoria,Finanzas,3,5700,4700,85.1,3.6,2
50,51,Masculino,Centro,Posgrado,Operaciones,15,18700,13300,86.1,10.9,2
51,39,Masculino,Sur,Doctorado,TI,11,23300,11500,73.8,3.0,3
52,26,Femenino,Occidente,Posgrado,TI,7,11200,5000,93.9,1.5,3
53,33,Masculino,Norte,Secundaria,RH,8,7900,5000,74.8,4.4,0
54,27,Femenino,Occidente,Posgrado,TI,4,17600,7500,62.8,3.7,1
55,49,Masculino,Norte,Doctorado,TI,19,26100,11700,83.7,3.6,5
56,52,Femenino,Centro,Licenciatura,Operaciones,26,10100,7500,,2.8,1
57,30,Masculino,Norte,Licenciatura,TI,1,6400,4300,92.3,23.0,2
58,38,Masculino,Centro,Posgrado,Ventas,12,14000,8800,88.6,15.6,1
59,,Femenino,Sur,Posgrado,TI,15,9000,7100,74.8,11.4,0
60,28,Femenino,Centro,Licenciatura,Ventas,7,16600,11500,72.3,20.9,3
61,49,Masculino,Centro,Licenciatura,Finanzas,20,9700,6600,98.2,2.8,2
62,30,Masculino,Norte,Licenciatura,Finanzas,9,10300,7400,75.8,0.0,0
63,26,Femenino,Centro,Doctorado,TI,3,10500,6200,91.8,18.3,4
64,,Femenino,Norte,Posgrado,Operaciones,6,16500,10600,73.0,3.3,2
65,36,Masculino,Norte,Licenciatura,Ventas,9,13400,6700,68.2,0.3,5
66,31,Femenino,Norte,Doctorado,TI,9,44500,30200,97.5,0.3,0
67,52,Masculino,Norte,Preparatoria,RH,17,,6300,59.0,13.5,0
68,40,Masculino,Centro,Doctorado,TI,12,24800,17200,87.5,20.4,2
69,26,Masculino,Norte,Secundaria,Operaciones,2,3900,2600,79.4,1.9,1
70,43,Femenino,Norte,Secundaria,Ventas,14,4400,2400,88.0,19.9,3
71,26,Femenino,Sur,Posgrado,Operaciones,2,15200,9600,91.2,14.1,2
72,55,Femenino,Centro,Preparatoria,TI,23,,4200,60.4,1.0,1
73,28,Masculino,Sur,Posgrado,TI,3,249713,202400,96.3,2.4,2
74,36,Femenino,Norte,Doctorado,Operaciones,8,21600,14100,75.2,18.4,3
75,42,Femenino,Centro,Posgrado,TI,15,13800,11600,57.4,9.8,0
76,32,Masculino,Sur,Posgrado,RH,2,17400,8400,82.4,0.7,0
77,30,Masculino,Centro,Posgrado,Ventas,7,9200,7300,88.9,1.7,0
78,43,Masculino,Sur,Doctorado,Marketing,15,17300,11700,95.0,24.7,0
79,24,Femenino,Centro,Preparatoria,Finanzas,5,6400,3800,80.5,0.8,2
80,50,Femenino,Occidente,Posgrado,Finanzas,19,12100,8000,55.8,2.7,4
81,27,Masculino,Norte,Licenciatura,TI,1,7900,4400,68.5,3.6,2
82,27,Masculino,Occidente,Licenciatura,Finanzas,9,6400,3400,69.9,22.2,1
83,39,Masculino,Norte,Preparatoria,Operaciones,14,5300,3800,96.0,17.6,3
84,22,Masculino,Sur,Posgrado,Operaciones,2,20300,16300,65.3,0.0,2
85,40,Femenino,Centro,Secundaria,Operaciones,12,7900,6000,93.1,21.3,1
86,33,Masculino,Sur,Preparatoria,Finanzas,10,6300,4400,,2.0,5
87,43,Masculino,Occidente,Posgrado,TI,11,23700,18300,82.4,16.8,2
88,39,Masculino,Norte,Posgrado,Operaciones,10,14000,10500,,1.5,1
89,49,Masculino,Norte,Posgrado,Operaciones,17,12400,7700,97.2,3.6,2
90,31,Masculino,Centro,Doctorado,TI,4,33100,23600,92.9,19.1,3
91,48,Femenino,Norte,Posgrado,TI,22,47800,35900,63.9,20.1,3
92,40,Masculino,Centro,Posgrado,Marketing,11,43600,24600,85.9,0.0,2
93,35,Femenino,Norte,Licenciatura,Marketing,6,19400,11300,80.7,14.9,0
94,42,Masculino,Occidente,Licenciatura,Ventas,17,6100,4600,95.0,20.5,2
95,32,Femenino,Norte,Doctorado,TI,8,33600,23100,60.9,2.2,2
96,34,Femenino,Sur,Licenciatura,Marketing,5,13400,6100,79.8,16.7,1
97,35,Masculino,Norte,Licenciatura,Finanzas,7,7500,4800,76.9,13.5,0
98,42,Femenino,Centro,Preparatoria,Marketing,16,9800,6700,70.9,14.6,1
99,39,Femenino,Sur,Secundaria,TI,11,,4300,35.5,15.1,2
100,22,Femenino,Norte,Posgrado,Finanzas,0,7300,6100,76.9,1.6,2
101,54,Masculino,Centro,Licenciatura,Operaciones,20,8800,7400,84.6,0.8,1
102,57,Masculino,Centro,Doctorado,RH,29,19300,9100,87.1,5.6,1
103,34,Femenino,Sur,Posgrado,Ventas,13,30900,19700,,14.9,2
104,48,Masculino,Norte,Licenciatura,Finanzas,17,25000,18100,81.3,8.3,2
105,46,Femenino,Centro,Licenciatura,Operaciones,15,17100,11400,72.4,20.7,1
106,36,Masculino,Occidente,Doctorado,Operaciones,8,,38000,87.1,19.9,3
107,38,Femenino,Sur,Preparatoria,Ventas,5,6900,5800,58.3,2.3,1
108,51,Masculino,Centro,Licenciatura,TI,16,12400,7800,94.3,0.0,5
109,24,Femenino,Centro,Licenciatura,Ventas,0,8900,7600,75.0,21.9,1
110,48,Masculino,Occidente,Preparatoria,Marketing,16,6800,4100,,2.8,2
111,52,Femenino,Norte,Posgrado,Finanzas,18,22800,13400,59.4,12.7,1
112,34,Masculino,Norte,Posgrado,TI,3,396615,287200,79.5,0.0,2
113,55,Masculino,Centro,Licenciatura,TI,28,6800,4400,74.2,24.2,0
114,48,Masculino,Occidente,Posgrado,TI,22,15200,11900,79.0,17.1,4
