restaurante_id,estado,cadena,periodo,tratamiento,post,tratamiento_post,salario_minimo,empleo
1,Nueva Jersey,Burger King,Antes,1,0,0,4.25,16.5
1,Nueva Jersey,Burger King,Despues,1,1,1,5.05,23.2
2,Nueva Jersey,KFC,Antes,1,0,0,4.25,28.9
2,Nueva Jersey,KFC,Despues,1,1,1,5.05,16.6
3,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20.6
3,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,22.9
4,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.5
4,Nueva Jersey,Burger King,Despues,1,1,1,5.05,21.1
5,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,30.9
5,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,21.6
6,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23.1
6,Nueva Jersey,Burger King,Despues,1,1,1,5.05,27.2
7,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,19
7,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,17.1
8,Nueva Jersey,Burger King,Antes,1,0,0,4.25,29.9
8,Nueva Jersey,Burger King,Despues,1,1,1,5.05,10.7
9,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,25.4
9,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,22.4
10,Nueva Jersey,Burger King,Antes,1,0,0,4.25,26.1
10,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.4
11,Nueva Jersey,KFC,Antes,1,0,0,4.25,31.5
11,Nueva Jersey,KFC,Despues,1,1,1,5.05,16.3
12,Nueva Jersey,Burger King,Antes,1,0,0,4.25,28.9
12,Nueva Jersey,Burger King,Despues,1,1,1,5.05,32
13,Nueva Jersey,KFC,Antes,1,0,0,4.25,21
13,Nueva Jersey,KFC,Despues,1,1,1,5.05,10
14,Nueva Jersey,KFC,Antes,1,0,0,4.25,23.4
14,Nueva Jersey,KFC,Despues,1,1,1,5.05,19.3
15,Nueva Jersey,KFC,Antes,1,0,0,4.25,25
15,Nueva Jersey,KFC,Despues,1,1,1,5.05,23.7
16,Nueva Jersey,Wendys,Antes,1,0,0,4.25,24.7
16,Nueva Jersey,Wendys,Despues,1,1,1,5.05,23.8
17,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,26.4
17,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.8
18,Nueva Jersey,Wendys,Antes,1,0,0,4.25,17.1
18,Nueva Jersey,Wendys,Despues,1,1,1,5.05,19.3
19,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,12.4
19,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,17.7
20,Nueva Jersey,Wendys,Antes,1,0,0,4.25,18.2
20,Nueva Jersey,Wendys,Despues,1,1,1,5.05,21
21,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.1
21,Nueva Jersey,Burger King,Despues,1,1,1,5.05,12.5
22,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.8
22,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,31.8
23,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.1
23,Nueva Jersey,Burger King,Despues,1,1,1,5.05,32.2
24,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,19.5
24,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,21.8
25,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20.1
25,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,16.3
26,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.8
26,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,32.6
27,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,18.2
27,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,28.6
28,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,15.8
28,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,12.4
29,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.4
29,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26.9
30,Nueva Jersey,KFC,Antes,1,0,0,4.25,26.7
30,Nueva Jersey,KFC,Despues,1,1,1,5.05,30.6
31,Nueva Jersey,Wendys,Antes,1,0,0,4.25,12.1
31,Nueva Jersey,Wendys,Despues,1,1,1,5.05,32.4
32,Nueva Jersey,Wendys,Antes,1,0,0,4.25,17.5
32,Nueva Jersey,Wendys,Despues,1,1,1,5.05,23
33,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23.5
33,Nueva Jersey,Burger King,Despues,1,1,1,5.05,18.2
34,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,11
34,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,19.9
35,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,21.4
35,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,17.8
36,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.4
36,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,23.9
37,Nueva Jersey,KFC,Antes,1,0,0,4.25,20.3
37,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.4
38,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20.7
38,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,17.7
39,Nueva Jersey,Burger King,Antes,1,0,0,4.25,27.5
39,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26.1
40,Nueva Jersey,KFC,Antes,1,0,0,4.25,26.3
40,Nueva Jersey,KFC,Despues,1,1,1,5.05,15.2
41,Nueva Jersey,KFC,Antes,1,0,0,4.25,26
41,Nueva Jersey,KFC,Despues,1,1,1,5.05,13.8
42,Nueva Jersey,Wendys,Antes,1,0,0,4.25,18.3
42,Nueva Jersey,Wendys,Despues,1,1,1,5.05,15.4
43,Nueva Jersey,KFC,Antes,1,0,0,4.25,10
43,Nueva Jersey,KFC,Despues,1,1,1,5.05,31.4
44,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,17.7
44,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.8
45,Nueva Jersey,KFC,Antes,1,0,0,4.25,19.1
45,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.2
46,Nueva Jersey,Wendys,Antes,1,0,0,4.25,29
46,Nueva Jersey,Wendys,Despues,1,1,1,5.05,30.7
47,Nueva Jersey,Burger King,Antes,1,0,0,4.25,15.1
47,Nueva Jersey,Burger King,Despues,1,1,1,5.05,15.5
48,Nueva Jersey,Wendys,Antes,1,0,0,4.25,13.4
48,Nueva Jersey,Wendys,Despues,1,1,1,5.05,16
49,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,30.8
49,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,22.3
50,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.8
50,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,19.2
51,Nueva Jersey,Wendys,Antes,1,0,0,4.25,26.4
51,Nueva Jersey,Wendys,Despues,1,1,1,5.05,23.6
52,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.4
52,Nueva Jersey,Burger King,Despues,1,1,1,5.05,18.5
53,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.7
53,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,32.5
54,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,25.7
54,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,32.3
55,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,18.9
55,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.5
56,Nueva Jersey,Wendys,Antes,1,0,0,4.25,15.9
56,Nueva Jersey,Wendys,Despues,1,1,1,5.05,21
57,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23.4
57,Nueva Jersey,Burger King,Despues,1,1,1,5.05,29
58,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23.8
58,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.5
59,Nueva Jersey,KFC,Antes,1,0,0,4.25,27.2
59,Nueva Jersey,KFC,Despues,1,1,1,5.05,28
60,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,21.5
60,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,18.3
61,Nueva Jersey,Burger King,Antes,1,0,0,4.25,27.2
61,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.9
62,Nueva Jersey,KFC,Antes,1,0,0,4.25,29.6
62,Nueva Jersey,KFC,Despues,1,1,1,5.05,20.1
63,Nueva Jersey,Wendys,Antes,1,0,0,4.25,15.8
63,Nueva Jersey,Wendys,Despues,1,1,1,5.05,24.9
64,Nueva Jersey,KFC,Antes,1,0,0,4.25,17.7
64,Nueva Jersey,KFC,Despues,1,1,1,5.05,25.4
65,Nueva Jersey,Wendys,Antes,1,0,0,4.25,12.4
65,Nueva Jersey,Wendys,Despues,1,1,1,5.05,13.5
66,Nueva Jersey,KFC,Antes,1,0,0,4.25,24.4
66,Nueva Jersey,KFC,Despues,1,1,1,5.05,23.9
67,Nueva Jersey,KFC,Antes,1,0,0,4.25,25.4
67,Nueva Jersey,KFC,Despues,1,1,1,5.05,12.2
68,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,27.1
68,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,28.3
69,Nueva Jersey,KFC,Antes,1,0,0,4.25,26.2
69,Nueva Jersey,KFC,Despues,1,1,1,5.05,26.2
70,Nueva Jersey,KFC,Antes,1,0,0,4.25,31.6
70,Nueva Jersey,KFC,Despues,1,1,1,5.05,15
71,Nueva Jersey,KFC,Antes,1,0,0,4.25,18.1
71,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.3
72,Nueva Jersey,Burger King,Antes,1,0,0,4.25,17
72,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.7
73,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.7
73,Nueva Jersey,Burger King,Despues,1,1,1,5.05,19
74,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.3
74,Nueva Jersey,Burger King,Despues,1,1,1,5.05,25
75,Nueva Jersey,Wendys,Antes,1,0,0,4.25,17
75,Nueva Jersey,Wendys,Despues,1,1,1,5.05,17.3
76,Nueva Jersey,Wendys,Antes,1,0,0,4.25,25.9
76,Nueva Jersey,Wendys,Despues,1,1,1,5.05,21.4
77,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.6
77,Nueva Jersey,Burger King,Despues,1,1,1,5.05,18
78,Nueva Jersey,KFC,Antes,1,0,0,4.25,27.4
78,Nueva Jersey,KFC,Despues,1,1,1,5.05,15.5
79,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.8
79,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.6
80,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,22.3
80,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,25.6
81,Nueva Jersey,Wendys,Antes,1,0,0,4.25,23
81,Nueva Jersey,Wendys,Despues,1,1,1,5.05,19.1
82,Nueva Jersey,KFC,Antes,1,0,0,4.25,19.7
82,Nueva Jersey,KFC,Despues,1,1,1,5.05,24
83,Nueva Jersey,KFC,Antes,1,0,0,4.25,14.4
83,Nueva Jersey,KFC,Despues,1,1,1,5.05,17.8
84,Nueva Jersey,KFC,Antes,1,0,0,4.25,31.4
84,Nueva Jersey,KFC,Despues,1,1,1,5.05,11.8
85,Nueva Jersey,KFC,Antes,1,0,0,4.25,14.8
85,Nueva Jersey,KFC,Despues,1,1,1,5.05,27.2
