id_escuela,matricula,n_clases,tamano_clase,tratamiento,puntaje,pct_pobreza,experiencia_docente
1,57,2,28.5,1,66.8,23.7,6.2
2,57,2,28.5,1,70.2,22,9.7
3,31,1,31,0,53.7,27.4,14.8
4,53,2,26.5,1,69.5,32.2,9.4
5,46,2,23,1,70.7,19.2,6.8
6,41,2,20.5,1,62.2,31.6,10.2
7,49,2,24.5,1,65.5,33,14.2
8,25,1,25,0,55.6,35,4.5
9,46,2,23,1,63.7,31.4,9.5
10,48,2,24,1,66.3,31.8,11.8
11,38,1,38,0,62,32.8,15.8
12,49,2,24.5,1,70.6,30.8,8.6
13,57,2,28.5,1,71.3,31.3,15.4
14,30,1,30,0,51.4,29.6,8.2
15,38,1,38,0,59.2,33.5,6.8
16,58,2,29,1,73.6,29.6,7.5
17,59,2,29.5,1,73.1,29.4,10.3
18,25,1,25,0,54.9,24.2,9.2
19,39,1,39,0,51.6,25.1,9
20,42,2,21,1,65.8,31.8,13.3
21,56,2,28,1,71.5,39.3,11.4
22,26,1,26,0,55.9,23.8,9
23,60,2,30,1,71.5,31.1,9.2
24,58,2,29,1,71.7,26.6,7
25,23,1,23,0,53.7,32.8,3.3
26,41,2,20.5,1,69.2,28.5,10.7
27,36,1,36,0,60.2,30.5,9.9
28,56,2,28,1,66.1,33.3,14.9
29,38,1,38,0,63.5,24.5,10.8
30,53,2,26.5,1,72.5,30.8,13
31,50,2,25,1,70.5,29.9,10.6
32,52,2,26,1,63.6,34.6,8.1
33,36,1,36,0,57.1,23.4,10.7
34,47,2,23.5,1,69,24.7,11.4
35,20,1,20,0,54.1,31.8,6.5
36,53,2,26.5,1,69.9,28.4,10.6
37,20,1,20,0,61.4,24.7,15
38,28,1,28,0,53.9,29.4,6
39,56,2,28,1,63.5,30,15.2
40,44,2,22,1,67,39.7,9.5
41,35,1,35,0,56.4,30.8,14.2
42,37,1,37,0,60.4,30.5,7.3
43,21,1,21,0,51.9,32.8,8.9
44,59,2,29.5,1,77.3,31.6,11.9
45,37,1,37,0,58.7,29.9,9.5
46,58,2,29,1,69,26.4,12.9
47,56,2,28,1,69.3,20.1,10.3
48,46,2,23,1,69.4,24.6,13.9
49,59,2,29.5,1,71,32.5,11.5
50,45,2,22.5,1,61.6,25.3,12.3
51,33,1,33,0,57.9,32.7,6.1
52,34,1,34,0,60.5,33,7.7
53,36,1,36,0,58.9,30.7,13.1
54,51,2,25.5,1,70.5,30.1,12.1
55,22,1,22,0,54.2,21.4,8.7
56,50,2,25,1,67.8,29.5,10.2
57,47,2,23.5,1,68.5,28.4,12.6
58,27,1,27,0,59.1,32,8.7
59,30,1,30,0,53.3,35.5,9.7
60,41,2,20.5,1,65.2,32.6,5.1
61,47,2,23.5,1,66.9,25.1,15.7
62,59,2,29.5,1,68.4,40.3,13.2
63,50,2,25,1,64.9,36.1,13
64,43,2,21.5,1,64,31.4,4.4
65,54,2,27,1,71,20.4,10.6
66,28,1,28,0,55.2,24,8.2
67,31,1,31,0,54.9,28.8,5.4
68,53,2,26.5,1,69.4,35.1,12.8
69,48,2,24,1,63.7,24.9,14.1
70,30,1,30,0,60.1,45.1,7.8
71,22,1,22,0,53.1,15.4,8.4
72,26,1,26,0,56.4,27.4,14.4
73,29,1,29,0,56.9,27.6,4.5
74,39,1,39,0,59.7,26.6,12.2
75,28,1,28,0,61.8,27.2,8.5
76,49,2,24.5,1,65.2,34.6,10.1
77,20,1,20,0,57.4,23.6,7.2
78,35,1,35,0,58.6,19.1,13
79,41,2,20.5,1,62.8,30.6,6.7
80,20,1,20,0,53.8,28,11.9
81,43,2,21.5,1,68.1,30.2,14.4
82,26,1,26,0,54.5,31.9,4.4
83,34,1,34,0,55.9,29.3,6.3
84,46,2,23,1,67.3,34.5,12.1
85,51,2,25.5,1,71.3,21,7.7
86,43,2,21.5,1,65.7,24.7,8.1
87,29,1,29,0,52.5,30.6,8.1
88,24,1,24,0,51.3,26.6,8.2
89,23,1,23,0,52.6,33,11.3
90,32,1,32,0,56,24.2,7.8
91,47,2,23.5,1,67,34.3,10.6
92,20,1,20,0,56,24.7,11.2
93,28,1,28,0,55.1,23.2,4.8
94,57,2,28.5,1,66.8,30,8.8
95,57,2,28.5,1,71.9,31.9,13.4
96,49,2,24.5,1,68.5,24.8,9.3
97,33,1,33,0,61.4,25.5,2
98,41,2,20.5,1,60.3,23.9,7.5
99,50,2,25,1,68.3,36.1,12.9
100,45,2,22.5,1,70.6,34.1,9
101,45,2,22.5,1,68.7,25.3,9
102,29,1,29,0,54.2,31.7,9
103,29,1,29,0,58.9,27.6,11.6
104,36,1,36,0,56.2,24,8.3
105,58,2,29,1,69,33.9,12.3
106,59,2,29.5,1,74.3,30.3,12.7
107,50,2,25,1,67.1,35.4,7.4
108,49,2,24.5,1,70.2,29.9,10.3
109,41,2,20.5,1,64.4,36,8.4
110,20,1,20,0,49.3,25.5,10.3
111,44,2,22,1,63.7,31.5,5.7
112,53,2,26.5,1,65.6,33.2,15.3
113,50,2,25,1,66.5,32.4,14.5
114,38,1,38,0,58.4,30.8,7.4
115,41,2,20.5,1,64.8,30,8
116,41,2,20.5,1,64.6,29.6,7.3
117,20,1,20,0,59.7,34.8,8.6
118,34,1,34,0,54,33.9,8.2
119,44,2,22,1,65,27.4,10.5
120,53,2,26.5,1,69.9,38.3,5
121,34,1,34,0,63.1,30.1,10.2
122,36,1,36,0,59.1,26.4,9.8
123,43,2,21.5,1,69.6,31.1,5.3
124,44,2,22,1,61.3,29.6,11
125,49,2,24.5,1,72,31.4,10.6
126,36,1,36,0,56.7,24.7,9.1
127,57,2,28.5,1,69.3,27.6,10.8
128,59,2,29.5,1,67.4,38.7,12.1
129,29,1,29,0,57.1,33.7,10.5
130,49,2,24.5,1,73.1,26.5,9.2
131,56,2,28,1,77.1,27.1,14.3
132,44,2,22,1,63,39,10.1
133,45,2,22.5,1,68,40,9.8
134,57,2,28.5,1,74.3,27.8,13.7
135,54,2,27,1,68.6,24.9,13.7
136,43,2,21.5,1,65.2,43.4,8
137,53,2,26.5,1,68,32.4,7.7
138,25,1,25,0,57.3,29.4,7.1
139,51,2,25.5,1,72.5,31.5,7
140,45,2,22.5,1,68.6,37.5,4.9
141,26,1,26,0,56.8,27.6,10.2
142,23,1,23,0,54,35.6,8.7
143,39,1,39,0,61.2,28.8,11.9
144,51,2,25.5,1,66.7,33.6,10.5
145,49,2,24.5,1,66.9,25.7,11.7
146,53,2,26.5,1,72.2,32.2,9.2
147,27,1,27,0,57.4,34.7,6.5
148,58,2,29,1,71.1,31,13.2
149,32,1,32,0,56.8,35.6,11.9
150,26,1,26,0,58.6,42.2,4.1
151,49,2,24.5,1,71.7,35.6,13.1
152,33,1,33,0,55.3,28.1,4.3
153,51,2,25.5,1,68.5,31.6,10.4
154,36,1,36,0,58.9,27.4,8.6
155,47,2,23.5,1,65.4,41.6,10
156,51,2,25.5,1,65.3,16.3,13.8
157,28,1,28,0,56.4,29.2,5.6
158,21,1,21,0,56.3,28.7,8.3
159,25,1,25,0,59.9,29.6,16.9
160,47,2,23.5,1,61.4,22.9,5.9
161,57,2,28.5,1,68,32.8,9
162,42,2,21,1,64.7,31.1,10
163,44,2,22,1,61.2,36.7,10.8
164,28,1,28,0,54.1,31.4,7.8
165,41,2,20.5,1,63,35.7,9.3
166,27,1,27,0,53.9,23.9,12.6
167,38,1,38,0,52.8,29.2,9.4
168,33,1,33,0,58.5,30.3,10.4
169,25,1,25,0,53.6,29.9,10.4
170,27,1,27,0,60.7,25.2,10.6
171,49,2,24.5,1,70.1,38.3,11.9
172,36,1,36,0,54.4,26.5,10
173,37,1,37,0,59.4,21.6,7.7
174,39,1,39,0,57.9,31.9,9.8
175,37,1,37,0,61.8,33,7
176,25,1,25,0,55.7,33.2,9.5
177,53,2,26.5,1,67.2,26.6,9.6
178,44,2,22,1,67.5,29.2,9.8
179,52,2,26,1,69.1,24.6,7.3
180,51,2,25.5,1,67.8,35.3,9.7
181,57,2,28.5,1,76.2,33.4,7.6
182,55,2,27.5,1,67.9,36.1,9.5
183,33,1,33,0,56.5,32.3,11.2
184,30,1,30,0,52.4,26,10.2
185,50,2,25,1,67.9,31.9,13.2
186,50,2,25,1,70.7,21.5,12
187,57,2,28.5,1,63.9,34.2,11.2
188,52,2,26,1,67.8,36,13.6
189,25,1,25,0,52,24.1,12.8
190,32,1,32,0,61.9,18.5,5.4
191,28,1,28,0,60.5,21.2,12.1
192,51,2,25.5,1,69.3,25.5,12.9
193,25,1,25,0,59.8,34.7,12.1
194,25,1,25,0,52.9,28.5,6.5
195,23,1,23,0,57.8,22.1,16.4
196,22,1,22,0,52.8,31,1.3
197,41,2,20.5,1,66.3,19.2,10.1
198,24,1,24,0,54.3,27.2,9.6
199,50,2,25,1,67.2,36.6,10.1
200,49,2,24.5,1,69.3,29.2,12.7
201,55,2,27.5,1,65.6,38,11.1
202,41,2,20.5,1,64.5,39.1,7.7
203,54,2,27,1,69.7,25.6,14.9
204,38,1,38,0,58.2,24,9
205,26,1,26,0,56.1,24,11.1
206,38,1,38,0,58.4,32.4,7.9
207,59,2,29.5,1,75.6,36.1,7.8
208,39,1,39,0,61.8,35.9,8.1
209,30,1,30,0,65.9,35.5,6.3
210,30,1,30,0,54.6,34.4,11.1
211,42,2,21,1,68,34.9,5.4
212,46,2,23,1,73.1,31.4,7.4
213,33,1,33,0,58.8,24.9,9.7
214,22,1,22,0,51.4,24.6,4
215,38,1,38,0,56.4,31.8,8.4
216,54,2,27,1,69.1,39.8,9.8
217,43,2,21.5,1,69.8,38.8,14.2
218,34,1,34,0,60.5,19.8,8.9
219,42,2,21,1,59.2,26,8.5
220,56,2,28,1,67.7,38.7,8.8
221,40,1,40,0,60,24.7,11.3
222,27,1,27,0,51.7,20.6,8.4
223,42,2,21,1,67.7,33.2,8.5
224,58,2,29,1,63,40.5,10.1
225,33,1,33,0,58.3,39,12.8
226,53,2,26.5,1,67.7,34,15.4
227,32,1,32,0,56.1,32.8,7.7
228,27,1,27,0,55.2,31.5,9.4
229,22,1,22,0,55.5,28.1,8.1
230,30,1,30,0,58.2,12.1,15.1
231,34,1,34,0,57.5,33.2,11.5
232,26,1,26,0,50,26.6,4
233,32,1,32,0,53.3,34.2,8.3
234,21,1,21,0,49.9,25,2.2
235,60,2,30,1,73.3,23.8,10.7
236,52,2,26,1,67.9,37.4,12.7
237,23,1,23,0,55.7,29.2,6.5
238,55,2,27.5,1,64.8,49,6.9
239,42,2,21,1,64,34.8,13.9
240,37,1,37,0,60.8,34.9,7
241,23,1,23,0,54.4,32.1,11.9
242,42,2,21,1,65.3,27.2,10.7
243,23,1,23,0,54.7,26.4,11.8
244,28,1,28,0,60,34.1,12.4
245,42,2,21,1,63.8,35.5,13.5
246,39,1,39,0,61.7,32.8,13.7
247,26,1,26,0,58.5,23.7,10.2
248,26,1,26,0,52.2,37,9.8
249,40,1,40,0,60.4,23.2,7.1
250,58,2,29,1,70.4,29.6,7.3
251,33,1,33,0,61,40.9,7.8
252,28,1,28,0,59.1,31.4,9
253,31,1,31,0,57.3,34,6.6
254,41,2,20.5,1,65.7,32,12.5
255,21,1,21,0,52.1,23.1,6.7
256,52,2,26,1,68,28.2,11.6
