id,edad,educacion,raza_negro,raza_hispano,casado,re74,re75,tratamiento,re78
1,24,8,0,0,0,0,789,0,1743
2,26,8,1,0,0,10723,853,0,7959
3,39,10,0,0,0,10995,0,0,15306
4,28,10,1,0,0,0,11283,0,10526
5,29,4,0,0,0,432,937,1,12346
6,40,13,0,0,0,0,8458,0,10874
7,31,11,1,0,0,6488,0,1,8405
8,19,17,0,0,1,7714,0,0,15550
9,23,12,0,0,1,1174,0,0,10842
10,25,9,1,0,0,19131,11009,0,13375
11,37,17,0,0,0,44684,3954,0,17935
12,31,18,1,0,0,0,0,0,9107
13,31,7,0,0,1,0,0,1,10100
14,29,12,0,1,0,0,4501,0,8706
15,24,10,0,0,0,5527,2410,0,11006
16,41,11,1,0,1,11341,6444,0,10358
17,31,11,1,0,0,2559,5644,1,7284
18,18,7,1,0,0,0,19104,1,15215
19,33,11,0,1,0,0,8269,1,8904
20,25,15,0,0,1,0,0,0,11315
21,21,10,0,1,1,57080,4375,0,11523
22,26,10,1,0,0,0,10712,0,6547
23,21,14,1,0,0,9050,0,1,17572
24,23,13,0,0,0,448,0,0,8692
25,24,6,1,0,0,2716,0,0,6957
26,18,11,1,0,1,0,1062,0,8895
27,34,15,1,0,1,18885,947,1,10010
28,29,14,1,0,0,916,2839,0,10975
29,20,12,0,0,0,836,748,0,5047
30,37,12,1,0,0,5270,4513,0,11207
31,31,8,1,0,1,0,10488,0,5455
32,26,11,0,0,0,7998,1396,0,9154
33,34,8,0,0,0,0,4283,0,9562
34,34,9,1,0,0,712,0,0,4929
35,34,13,0,0,1,0,12355,0,12755
36,33,8,1,0,0,0,2621,0,7724
37,32,11,0,0,0,18105,0,1,14676
38,28,12,1,0,0,3289,4231,1,14605
39,26,11,1,0,0,4697,37490,0,24751
40,25,15,1,0,1,0,6014,0,10115
41,23,8,0,1,0,45679,3205,0,17191
42,27,12,0,0,0,4612,13555,0,14309
43,19,10,1,0,0,7332,7600,0,8660
44,43,10,0,1,0,23645,2066,0,11255
45,36,12,1,0,1,3986,9346,0,8245
46,20,8,0,1,0,1405,8579,1,12529
47,25,7,0,0,0,0,6295,1,12535
48,25,9,0,0,0,789,0,0,5462
49,33,15,0,0,0,3662,3789,0,7543
50,27,11,1,0,0,0,11552,0,9229
51,30,11,0,0,0,2625,15516,0,15524
52,28,10,0,0,0,180,0,0,12649
53,28,12,0,0,0,2430,0,0,6895
54,38,8,0,1,0,22462,0,0,9309
55,26,13,0,0,0,2800,4817,0,15264
56,39,12,1,0,0,2338,15754,0,10330
57,18,8,1,0,0,2210,0,0,1901
58,32,11,0,1,0,1720,1647,0,8916
59,29,12,0,0,0,0,7625,0,17289
60,30,12,0,0,1,10010,794,0,8944
61,31,14,0,0,0,0,108927,0,34962
62,24,9,0,0,1,750,0,0,7801
63,26,13,0,0,0,7898,0,0,9862
64,21,13,0,0,0,4089,506,0,7823
65,20,10,1,0,0,0,56730,0,21118
66,30,8,1,0,0,1425,9614,0,5849
67,31,8,1,0,0,5191,2172,0,6168
68,28,12,0,0,0,0,5505,0,11604
69,34,10,0,0,0,0,1715,1,10324
70,42,15,0,0,0,1579,0,0,12406
71,25,12,0,0,0,5304,1089,0,4946
72,18,10,1,0,0,383,0,1,4767
73,35,8,0,0,0,7276,15829,0,11534
74,23,9,0,0,0,0,7041,0,3787
75,23,11,1,0,0,12325,2580,0,9115
76,35,9,1,0,0,17403,0,0,11225
