id,trimestre_nacimiento,anios_educacion,log_ingresos,habilidad
1,1,11.3,8.6682,-0.1583
2,1,11.6,8.6994,0.0188
3,3,12.3,9.2514,0.4982
4,2,9.9,7.9633,-1.6753
5,1,14.1,10.8088,3.0032
6,4,12.1,8.8778,-0.6089
7,3,11.4,8.6973,-1.1953
8,1,10.9,8.6306,0.4917
9,2,13,9.5381,0.7746
10,3,12.2,9.0571,0.55
11,2,11.6,8.8285,-0.6575
12,1,11.3,8.3246,-0.4545
13,3,13.1,9.7489,0.7115
14,2,11.2,8.2763,-1.794
15,3,13,9.9614,1.7309
16,3,14,9.7406,1.2288
17,3,10.5,7.8973,-1.6128
18,4,11.4,9.5847,0.2803
19,2,10.5,8.4298,-0.931
20,2,10.6,8.0849,-0.8201
21,1,9.6,7.899,-1.6425
22,1,9.7,8.3715,-1.2153
23,4,12.4,9.6752,0.8069
24,2,12.4,8.6341,-0.6241
25,3,12.5,8.4304,-0.761
26,1,10.7,8.5044,-1.1444
27,1,11.9,9.2009,0.7001
28,2,13.7,9.8733,0.7301
29,4,11.8,8.2716,-0.5285
30,1,12.6,9.09,-0.4269
31,1,11.9,9.2925,0.4888
32,2,10.9,8.7192,-0.9757
33,4,12.8,10.21,1.0778
34,2,12,9.3545,0.0922
35,3,14.5,8.3466,-0.4976
36,4,12.6,9.0713,0.8607
37,4,10.9,8.8638,-0.0499
38,2,12.5,9.2019,0.4131
39,3,14.4,10.3951,2.2304
40,1,12.5,9.2796,0.4468
41,2,12.8,9.0769,0.3641
42,4,13.1,8.257,-0.1259
43,4,14.4,9.841,0.8959
44,1,11.4,8.9739,0.4806
45,3,12.2,8.3276,-1.1936
46,4,11.3,8.7115,-0.6869
47,2,11.9,8.4079,0.1582
48,3,11.4,9.393,-0.0102
49,4,12.3,9.9564,0.5505
50,2,11.4,8.9563,-0.5441
51,2,12.5,9.8555,1.2469
52,3,13,8.763,0.107
53,2,11.3,8.452,-0.241
54,3,13.4,9.9687,1.4321
55,3,14.2,10.2084,1.3951
56,4,12.6,10.0214,1.1333
57,1,12.7,8.7009,-0.5523
58,4,14,10.247,1.377
59,4,13.3,9.0739,-0.4929
60,4,12.9,9.8978,0.7731
61,1,10.9,8.9225,-0.0312
62,1,11,8.8535,0.5825
63,2,10.2,8.7183,-0.8032
64,2,10.8,9.5084,-0.4013
65,3,13.9,9.3929,1.4038
66,3,11.3,8.4956,-0.3859
67,4,12.6,8.7878,-0.0498
68,4,11,8.1313,-1.2724
69,4,14.7,9.8078,2.0526
70,2,11.5,8.9764,-0.5494
71,2,11.4,8.836,0.1617
72,1,12.8,9.3719,-0.3917
73,3,13.2,9.4416,0.9517
74,3,13.2,9.8746,1.6677
75,2,13.1,10.4438,1.6155
76,3,13.3,9.5288,1.5501
77,3,12.9,9.1153,-0.0128
78,1,11.2,8.6232,-0.0332
79,4,12.8,8.1877,-1.0326
80,3,11,9.338,-0.0872
81,4,14.9,10.2621,1.8511
82,1,11.8,9.289,0.8802
83,2,12.8,9.9497,1.7106
84,1,11.9,9.1824,0.3406
85,1,12.5,10.0982,0.8345
86,2,11.8,9.1102,-0.2381
87,4,11,8.8794,-0.2412
88,3,12.4,9.4209,1.4936
89,3,13,8.8743,-0.2875
90,1,11.3,9.1741,0.7567
91,1,14.2,8.7229,0.5522
92,2,14,9.9262,2.1373
93,2,12.3,8.8818,0.1066
94,3,12,9.2329,0.2692
95,1,12.3,8.8791,-0.9815
96,2,14.5,9.8797,1.0283
97,3,11.3,8.0908,-0.9621
98,1,10.8,8.6311,-0.9245
99,4,11.6,9.1862,0.9047
100,3,12.1,8.9971,-0.26
101,4,13.8,9.994,1.6593
102,4,13,8.8481,0.6148
103,2,12.5,9.0824,0.4097
104,1,12.2,9.9309,0.5617
105,2,10.8,7.9665,-0.5562
106,2,11.7,8.8015,0.4844
107,3,11.2,9.271,-0.0103
108,1,11.5,8.2611,-1.3246
109,2,12.5,9.3323,0.8592
110,3,14.3,9.0322,0.7589
111,4,11.6,8.5961,-0.5295
112,3,12.6,8.1814,-0.3364
113,2,11.3,8.694,-0.7796
114,4,12.8,9.9713,0.5709
115,4,12.4,8.4196,-0.8278
