variable,coeficiente,penalty
estacion_verano,-3.4486440477978264,0.001
viento_kmh,-3.060318688949847,0.001
estacion_primavera,-3.052979641006682,0.001
inversion_termica,2.1033217925878804,0.001
no2_ppb,2.007950447657761,0.001
indice_trafico,1.5243143206536867,0.001
lluvia_mm,-1.3450691844980276,0.001
estacion_otono,-1.1807482574125023,0.001
humedad,0.8856320547849106,0.001
velocidad_promedio,-0.47312983768170963,0.001
temperatura_c,0.250810658701451,0.001
entregas_urbanas,-0.1751068356004925,0.001
co_ppm,0.004405553147494873,0.001
