variable,indice_trafico,viento_kmh,humedad,temperatura_c,velocidad_promedio,no2_ppb,co_ppm,entregas_urbanas,lluvia_mm,inversion_termica
indice_trafico,1,-0.04912108169440824,-0.03367853011375212,-0.009895962773064811,-0.7197374313874544,0.7138468544816515,0.8397381697988461,0.7960941751172584,-0.06457938700335644,-0.08012597059337008
viento_kmh,-0.04912108169440824,1,0.06557426210889937,0.023422395637103202,0.05215569681602655,-0.039406964479033815,3.371410430840356e-4,-0.04875101791027102,0.02171605798942402,-0.006655965041586898
humedad,-0.03367853011375212,0.06557426210889937,1,-0.04372730728524821,-0.0878179953208687,-0.0018989341788039297,0.02502092663721138,-0.014589805339795625,-0.032976762269241004,-0.053684151222781966
temperatura_c,-0.009895962773064811,0.023422395637103202,-0.04372730728524821,1,-0.018494037361485152,-0.017899265790428217,-0.03722241990216329,0.0033710381812809974,-0.058285405093872124,-0.00469777594638023
velocidad_promedio,-0.7197374313874544,0.05215569681602655,-0.0878179953208687,-0.018494037361485152,1,-0.5229406086882051,-0.6048018268237196,-0.5573397999497438,0.1198356637641655,0.05202201382409527
no2_ppb,0.7138468544816515,-0.039406964479033815,-0.0018989341788039297,-0.017899265790428217,-0.5229406086882051,1,0.593699817397575,0.5442119295534507,-0.004466976931074698,-0.030155776431146464
co_ppm,0.8397381697988461,3.371410430840356e-4,0.02502092663721138,-0.03722241990216329,-0.6048018268237196,0.593699817397575,1,0.6762597319506354,0.01603067159190677,-0.04943989161991773
entregas_urbanas,0.7960941751172584,-0.04875101791027102,-0.014589805339795625,0.0033710381812809974,-0.5573397999497438,0.5442119295534507,0.6762597319506354,1,-0.06417016813993118,-0.01774979475546376
lluvia_mm,-0.06457938700335644,0.02171605798942402,-0.032976762269241004,-0.058285405093872124,0.1198356637641655,-0.004466976931074698,0.01603067159190677,-0.06417016813993118,1,0.044946465041557096
inversion_termica,-0.08012597059337008,-0.006655965041586898,-0.053684151222781966,-0.00469777594638023,0.05202201382409527,-0.030155776431146464,-0.04943989161991773,-0.01774979475546376,0.044946465041557096,1
