modelo,variable,coeficiente
lambda.min,frio,27.607146559464343
lambda.min,busquedas_lag1,16.202147938841147
lambda.min,pm25_lag1,9.336232107969739
lambda.min,school_in_session,5.423514931099678
lambda.min,ruido_redes_sociales,5.041453860694604
lambda.min,vacunacion_pct,-4.812222841461904
lambda.min,temp_min_c,3.9692796890499493
lambda.min,humedad_lag1,3.5338082691392856
lambda.min,ruido_administrativo,-3.360826445663351
lambda.min,llamadas_info,3.268320385000339
lambda.min,dias_feriados,-3.1917613173333272
lambda.min,pm25,3.0728385465745878
lambda.min,influenza_google,2.8761050695348023
lambda.min,ocupacion_hospitalaria_general,2.3771806887622207
lambda.min,costo_transporte,1.4711263556552714
lambda.min,tendencia,-1.3876297545414076
lambda.min,lluvia_lag1,1.0736382588636084
lambda.min,movilidad_transporte,-1.0350508945036203
lambda.min,humedad,0.8324452658476581
lambda.min,semana_del_anio,-0.6866748816727826
lambda.min,lluvia_mm,-0.5446531095530349
lambda.1se,frio,20.683155500125284
lambda.1se,busquedas_lag1,12.543619826849552
lambda.1se,pm25_lag1,6.05007654735131
lambda.1se,vacunacion_pct,-3.813807232439671
lambda.1se,school_in_session,2.869749742059301
lambda.1se,ruido_administrativo,-1.8826973644362877
lambda.1se,humedad_lag1,1.0078906207105474
lambda.1se,ruido_redes_sociales,0.9919541138767582
lambda.1se,lluvia_lag1,0.9324001490477515
lambda.1se,dias_feriados,-0.480607818618091
lambda.1se,llamadas_info,0.060450188323350196
lambda.1se,ocupacion_hospitalaria_general,0.04800991237080048
lambda.1se,temp_min_c,0
lambda.1se,humedad,0
lambda.1se,pm25,0
lambda.1se,influenza_google,0
lambda.1se,movilidad_transporte,0
lambda.1se,lluvia_mm,0
lambda.1se,costo_transporte,0
lambda.1se,tendencia,0
lambda.1se,semana_del_anio,0
