id_reserva,dias_anticipacion,num_noches,num_noches_finde,num_adultos,num_ninos,num_solicitudes_especiales,num_estancias_previas,precio_total_mxn,descuento_aplicado_pct,tipo_habitacion,canal_reserva,regimen,temporada,forma_pago,pais_origen,cliente_recurrente,tiene_promocion,cancelo
1,103,2,1,3,1,2,2,22426,0.4,estandar,agencia,desayuno,media,deposito_50pct,europa,si,si,no
2,75,4,2,1,0,0,1,17112,9.9,estandar,ota,todo_incluido,alta,en_hotel,mexico,si,si,si
3,48,2,1,1,0,0,1,21188,1.2,junior,ota,media_pension,baja,en_hotel,mexico,si,si,no
4,33,4,2,2,0,0,0,15251,6.8,estandar,agencia,desayuno,baja,en_hotel,mexico,no,si,si
5,123,6,2,3,0,1,1,16123,5,junior,ota,todo_incluido,alta,en_hotel,mexico,si,si,si
6,78,9,1,2,1,2,2,22339,0,estandar,telefono,desayuno,media,en_hotel,mexico,si,no,no
7,47,1,0,1,0,2,0,9920,30.7,estandar,web_propio,media_pension,alta,anticipado,mexico,no,si,no
8,110,2,0,2,0,0,5,24499,0,junior,agencia,desayuno,baja,deposito_50pct,otro,si,no,no
9,32,4,1,1,0,0,1,19471,4.2,junior,web_propio,solo_habitacion,media,en_hotel,mexico,si,si,no
10,75,2,1,1,0,2,1,NA,15.7,estandar,ota,solo_habitacion,alta,en_hotel,mexico,si,si,no
11,94,5,2,2,2,0,1,25434,33.9,estandar,telefono,solo_habitacion,media,anticipado,eua_canada,si,si,no
12,66,3,0,2,0,0,2,12663,3.6,junior,telefono,desayuno,alta,en_hotel,mexico,si,si,si
13,131,2,1,2,0,0,2,11677,0,suite,ota,media_pension,baja,anticipado,europa,si,no,no
14,107,1,0,1,2,0,0,21330,10.3,estandar,ota,desayuno,baja,deposito_50pct,mexico,no,si,si
15,44,1,0,2,0,0,0,7126,0,estandar,web_propio,solo_habitacion,baja,anticipado,mexico,no,no,no
16,70,5,3,2,0,0,1,2190,5.2,estandar,agencia,media_pension,media,deposito_50pct,mexico,si,si,si
17,84,5,3,2,0,0,0,27811,3.9,suite,ota,solo_habitacion,media,deposito_50pct,NA,no,si,si
18,51,3,2,1,0,1,0,6572,2.6,estandar,ota,desayuno,media,anticipado,mexico,no,si,no
19,56,1,0,4,2,1,1,22328,14.1,estandar,ota,solo_habitacion,media,en_hotel,mexico,si,si,si
20,177,1,0,3,0,0,0,27568,1.9,estandar,telefono,desayuno,media,anticipado,mexico,no,si,si
21,125,2,1,2,0,0,4,25387,0.9,estandar,web_propio,solo_habitacion,media,deposito_50pct,eua_canada,si,si,si
22,218,13,8,2,0,2,0,5633,2.8,estandar,ota,solo_habitacion,media,en_hotel,europa,no,si,si
23,169,4,1,1,1,0,0,5223,3.4,estandar,agencia,desayuno,baja,en_hotel,europa,no,si,si
24,31,2,0,1,0,0,1,NA,7.9,junior,ota,solo_habitacion,alta,en_hotel,mexico,si,si,no
25,56,2,1,1,0,1,0,26496,0,estandar,ota,media_pension,media,deposito_50pct,europa,no,no,no
26,100,2,1,2,0,2,1,10248,0.6,estandar,ota,media_pension,baja,en_hotel,mexico,si,si,si
27,8,7,1,3,0,2,1,4572,26.4,junior,ota,desayuno,media,anticipado,mexico,si,si,si
28,9,3,1,2,0,0,0,11647,14.8,junior,ota,todo_incluido,alta,deposito_50pct,mexico,no,si,si
29,11,1,0,2,0,0,1,7572,0,junior,agencia,todo_incluido,baja,anticipado,mexico,si,no,si
30,104,2,0,2,1,0,0,21677,7.5,junior,ota,desayuno,alta,en_hotel,europa,no,si,si
31,51,1,0,2,0,1,1,14311,7.4,estandar,agencia,todo_incluido,media,deposito_50pct,mexico,si,si,no
32,162,4,1,2,3,0,1,21811,0,estandar,agencia,desayuno,media,anticipado,mexico,si,no,si
