id_solicitud,edad,ingreso_mensual_mxn,monto_solicitado_mxn,plazo_meses,pago_mensual_estimado_mxn,pct_deuda_ingreso,score_historial,num_creditos_activos,antiguedad_empleo_anios,aprobado
CR0001,19,45819,340000,36,9444,0.206,649,0,2,si
CR0002,30,7622,61000,12,5083,0.667,641,0,9.7,no
CR0003,24,39178,163000,6,27167,0.693,670,1,1.3,no
CR0004,51,13792,82000,6,13667,0.991,716,1,7,no
CR0005,25,7764,39000,24,1625,0.209,799,3,1.7,no
CR0006,68,22826,128000,36,3556,0.156,626,3,2.7,si
CR0007,39,22831,127000,12,10583,0.464,653,1,7.2,si
CR0008,73,24174,66000,36,1833,0.076,771,0,20.1,no
CR0009,22,24199,188000,24,7833,0.324,590,0,3.7,no
CR0010,53,15922,96000,24,4000,0.251,527,1,2.8,si
CR0011,59,17073,35000,24,1458,0.085,576,3,5.3,no
CR0012,37,11025,26000,36,722,0.065,725,0,15.4,si
CR0013,24,18068,138000,24,5750,0.318,657,1,1.7,si
CR0014,58,17442,104000,24,4333,0.248,746,1,2.3,si
CR0015,64,26656,168000,36,4667,0.175,652,3,6,si
CR0016,62,19166,84000,24,3500,0.183,674,2,7.7,si
CR0017,35,37470,293000,36,8139,0.217,626,1,3.2,si
CR0018,53,10558,46000,36,1278,0.121,541,3,7.9,no
CR0019,71,8533,62000,24,2583,0.303,709,0,10.9,si
CR0020,24,NA,236000,48,4917,0.128,599,4,4.2,si
CR0021,46,8358,13000,6,2167,0.259,705,1,3.3,si
CR0022,64,26373,147000,12,12250,0.464,656,0,7.6,si
CR0023,43,36774,186000,12,15500,0.421,619,1,4.3,si
CR0024,43,20210,127000,24,5292,0.262,726,1,10.7,si
CR0025,25,31254,142000,24,5917,0.189,567,0,5.2,si
CR0026,62,34432,100000,12,8333,0.242,692,2,1.4,si
CR0027,54,NA,61000,24,2542,0.126,631,0,8.9,si
CR0028,37,6274,35000,12,2917,0.465,667,2,18.7,no
CR0029,48,30056,98000,36,2722,0.091,699,1,6.5,si
CR0030,19,33046,92000,48,1917,0.058,671,2,2,no
CR0031,54,25904,42000,12,3500,0.135,576,1,2.6,no
CR0032,24,18016,125000,12,10417,0.578,736,0,3.9,si
CR0033,48,28175,200000,24,8333,0.296,620,2,1.3,si
CR0034,27,29120,128000,24,5333,0.183,672,2,6.9,si
CR0035,50,81750,590000,6,98333,1.203,705,2,5.1,no
CR0036,53,16309,92000,24,3833,0.235,787,5,1.7,si
CR0037,30,19666,57000,12,4750,0.242,601,2,4.9,si
CR0038,61,13195,95000,12,7917,0.6,804,5,4.3,no
CR0039,44,25209,45000,60,750,0.03,677,0,6.5,si
CR0040,59,65561,147000,12,12250,0.187,711,2,10.4,si
CR0041,62,46065,180000,12,15000,0.326,841,1,14.6,no
CR0042,57,17059,38000,36,1056,0.062,499,1,6.8,no
CR0043,44,45943,92000,36,2556,0.056,486,2,4.7,no
CR0044,68,34590,238000,6,39667,1.147,607,2,6.6,no
CR0045,54,69363,552000,24,23000,0.332,456,2,6.7,no
CR0046,58,NA,131000,24,5458,0.305,677,1,4.4,si
CR0047,49,16188,75000,12,6250,0.386,682,0,2.1,si
CR0048,63,16751,34000,6,5667,0.338,611,1,11,si
CR0049,26,20757,126000,36,3500,0.169,837,1,1.1,si
CR0050,72,16024,46000,12,3833,0.239,736,0,5.4,si
CR0051,64,21956,123000,24,5125,0.233,530,5,9.9,no
CR0052,18,26326,139000,36,3861,0.147,850,2,1,no
CR0053,18,11813,60000,12,5000,0.423,535,1,1,no
CR0054,71,47245,193000,6,32167,0.681,665,1,4.7,no
CR0055,24,16464,91000,24,3792,0.23,635,3,1.4,si
CR0056,33,18477,43000,12,3583,0.194,421,0,11.2,no
CR0057,54,33746,233000,12,19417,0.575,649,3,4.3,si
CR0058,60,23916,146000,24,6083,0.254,630,1,6.3,si
CR0059,69,14395,60000,12,5000,0.347,759,3,1,no
CR0060,56,13209,62000,36,1722,0.13,559,0,2.2,no
CR0061,73,12055,84000,48,1750,0.145,545,2,5.2,no
CR0062,30,25955,208000,48,4333,0.167,697,1,2.1,si
CR0063,54,57950,313000,6,52167,0.9,675,1,3,no
CR0064,33,72393,113000,24,4708,0.065,657,2,0.5,si
CR0065,47,24889,57000,12,4750,0.191,622,2,6.3,si
CR0066,68,18679,132000,24,5500,0.294,719,0,6.1,no
CR0067,37,20336,86000,36,2389,0.117,569,1,3.9,si
CR0068,22,21155,36000,36,1000,0.047,686,0,5,si
CR0069,37,19475,30000,24,1250,0.064,689,2,5.8,si
CR0070,72,26848,170000,36,4722,0.176,668,3,2.1,si
CR0071,33,13507,86000,6,14333,1.061,633,1,0.3,no
CR0072,25,18752,54000,12,4500,0.24,690,2,4.1,si
CR0073,75,6902,40000,24,1667,0.242,536,1,4.7,no
CR0074,39,15487,26000,60,433,0.028,661,3,3.5,si
CR0075,29,52084,379000,36,10528,0.202,544,3,1.9,no
CR0076,46,18857,44000,24,1833,0.097,787,2,7.9,si
CR0077,24,9619,57000,12,4750,0.494,609,4,3.5,no
CR0078,45,18677,38000,36,1056,0.057,689,1,8.6,no
CR0079,74,27544,138000,6,23000,0.835,554,1,4.7,no
CR0080,23,17239,98000,12,8167,0.474,529,2,2.2,no
CR0081,67,20209,153000,24,6375,0.315,641,5,1.7,si
CR0082,65,11764,84000,24,3500,0.298,740,3,5.4,no
CR0083,71,28082,141000,24,5875,0.209,624,0,2.4,si
CR0084,73,29873,222000,60,3700,0.124,654,2,5.4,si
CR0085,54,28011,138000,24,5750,0.205,540,1,5.7,si
CR0086,74,35878,122000,12,10167,0.283,613,2,4.1,si
CR0087,74,17052,112000,36,3111,0.182,622,2,8.5,si
CR0088,75,18842,147000,36,4083,0.217,609,1,17.8,si
CR0089,37,31653,176000,12,14667,0.463,691,1,6.7,si
CR0090,65,14388,32000,12,2667,0.185,737,3,0.4,no
CR0091,56,NA,55000,12,4583,0.285,631,1,1.6,si
CR0092,73,23481,80000,24,3333,0.142,574,2,7.7,si
CR0093,61,11657,50000,60,833,0.071,614,1,11.5,si
CR0094,64,54950,435000,12,36250,0.66,612,3,6,no
CR0095,47,22168,142000,24,5917,0.267,611,0,4.3,si
CR0096,49,28514,198000,24,8250,0.289,721,4,2.3,si
CR0097,28,16144,27000,36,750,0.046,628,4,1.9,no
CR0098,26,39991,216000,12,18000,0.45,780,3,5.5,no
CR0099,34,37955,94000,12,7833,0.206,NA,3,2.4,si
CR0100,24,43935,236000,36,6556,0.149,743,2,6.7,si
CR0101,47,11376,55000,36,1528,0.134,766,2,5,si
CR0102,71,20402,106000,12,8833,0.433,611,1,9.3,no
CR0103,36,28169,64000,24,2667,0.095,619,2,5.9,si
CR0104,46,50548,170000,60,2833,0.056,776,1,2.2,no
CR0105,47,38532,266000,24,11083,0.288,603,6,2.5,si
CR0106,21,16104,39000,12,3250,0.202,619,2,4,si
CR0107,20,24486,190000,60,3167,0.129,697,2,3,si
CR0108,32,10508,43000,48,896,0.085,688,2,10.9,si
CR0109,66,23500,113000,60,1883,0.08,587,1,3.3,si
CR0110,28,14905,36000,48,750,0.05,NA,1,11,si
CR0111,50,26047,153000,6,25500,0.979,659,0,3.7,no
CR0112,60,14762,85000,36,2361,0.16,516,2,5.8,no
CR0113,45,6997,38000,24,1583,0.226,NA,1,1.6,si
CR0114,40,10114,31000,24,1292,0.128,671,1,12.2,si
CR0115,54,47038,182000,24,7583,0.161,725,1,5.1,no
CR0116,55,23699,120000,36,3333,0.141,711,2,5.3,si
CR0117,63,49529,346000,12,28833,0.582,665,0,1.2,no
CR0118,71,49210,261000,36,7250,0.147,779,1,2.6,no
CR0119,25,19024,75000,48,1562,0.082,850,2,4.4,no
CR0120,37,18620,32000,12,2667,0.143,581,2,5.5,si
CR0121,25,6547,33000,24,1375,0.21,850,2,8,no
CR0122,74,NA,143000,12,11917,0.245,603,3,13.2,si
CR0123,68,21373,75000,24,3125,0.146,787,2,5.6,no
CR0124,59,23983,48000,36,1333,0.056,602,0,5.9,si
CR0125,35,36116,202000,36,5611,0.155,658,1,3,si
CR0126,72,13580,35000,48,729,0.054,652,2,2.3,si
CR0127,50,18036,46000,24,1917,0.106,637,2,5.4,si
CR0128,26,33758,90000,36,2500,0.074,609,0,7.6,si
CR0129,55,11781,64000,36,1778,0.151,582,8,10,si
CR0130,63,16746,49000,24,2042,0.122,604,3,1.7,si
CR0131,29,33554,164000,36,4556,0.136,773,2,1.2,no
CR0132,39,41088,85000,48,1771,0.043,646,2,3.8,si
CR0133,21,32739,91000,24,3792,0.116,654,0,4,si
CR0134,58,38718,142000,60,2367,0.061,764,1,3.5,si
CR0135,63,14847,60000,24,2500,0.168,661,1,8.7,si
CR0136,71,20646,50000,12,4167,0.202,666,1,17.7,si
CR0137,19,27740,55000,24,2292,0.083,572,1,2,si
CR0138,66,25893,113000,36,3139,0.121,626,5,2.7,si
CR0139,62,30538,239000,36,6639,0.217,628,1,4.6,si
CR0140,32,10358,28000,6,4667,0.451,618,3,15,no
CR0141,29,28887,45000,24,1875,0.065,733,2,4.2,si
CR0142,73,37377,165000,36,4583,0.123,645,0,6.5,si
CR0143,48,21657,131000,24,5458,0.252,617,3,4,si
CR0144,18,19865,34000,24,1417,0.071,536,1,1,no
CR0145,20,15519,100000,6,16667,1.074,737,3,3,no
CR0146,56,35450,149000,24,6208,0.175,652,2,8,si
CR0147,45,35552,266000,36,7389,0.208,678,2,7.4,si
CR0148,68,12562,82000,12,6833,0.544,618,0,9.9,no
CR0149,24,21446,149000,24,6208,0.289,760,4,7,si
CR0150,64,64129,298000,60,4967,0.077,568,0,2.2,si
CR0151,38,21979,87000,24,3625,0.165,NA,2,9.5,si
CR0152,41,19604,148000,6,24667,1.258,675,1,18.5,no
CR0153,48,11541,56000,6,9333,0.809,630,1,7.6,no
CR0154,40,44635,218000,12,18167,0.407,714,1,6.5,si
CR0155,60,15135,77000,12,6417,0.424,686,5,2.6,si
CR0156,54,61699,451000,6,75167,1.218,705,0,2.7,no
CR0157,38,13854,24000,60,400,0.029,682,1,16.1,si
CR0158,23,8402,41000,24,1708,0.203,652,1,5.2,si
CR0159,55,19694,150000,36,4167,0.212,648,2,12.5,si
CR0160,19,13847,64000,48,1333,0.096,NA,1,2,si
CR0161,66,11622,38000,24,1583,0.136,749,2,7.5,no
CR0162,33,20747,129000,6,21500,1.036,NA,0,10.2,no
CR0163,57,34837,148000,36,4111,0.118,633,2,3.3,si
CR0164,30,13879,30000,6,5000,0.36,597,1,13,si
CR0165,56,31658,167000,6,27833,0.879,728,3,11.1,no
CR0166,54,29248,125000,6,20833,0.712,700,3,2.8,no
CR0167,31,64911,400000,6,66667,1.027,464,0,7.9,no
CR0168,30,16899,89000,24,3708,0.219,535,1,3.2,no
