acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,ph,sulfatos,alcohol
6.2536,0.3322,0.4503,2.3408,0.0486,30.9692,112.2979,0.9939,3.3146,0.5919,10.3862
5.9861,0.2392,0.4231,7.1028,0.0217,39.6832,157.8532,0.9966,3.3961,0.4582,9.3331
8.7691,0.7486,0.067,3.5495,0.0801,7.1888,40.625,0.9982,3.1319,0.5016,9.414
8.8989,0.4001,-0.0903,4.4901,0.0876,6.3257,43.8776,0.9979,3.334,0.4689,10.4421
7.3055,0.3657,0.2678,9.262,0.0554,43.4406,134.5487,0.9946,3.4065,0.776,10.1377
6.4908,0.5884,0.4563,2.222,0.0662,39.1128,138.2501,0.9968,3.3054,0.6851,11.705
5.0829,0.4348,0.3941,7.1222,0.0406,46.8482,167.7934,0.996,3.2588,0.4966,10.7928
7.8166,0.3775,0.0499,1.7142,0.0895,6.8624,45.9514,0.9946,3.2033,0.6264,10.1752
7.3875,0.2112,0.1392,1.6826,0.0392,35.1407,132.39940000000001,0.9938,3.269,0.7238,11.6486
5.9504,0.4753,0.3137,1.8808,0.0536,28.9398,121.9475,0.995,3.1464,0.481,12.6985
6.0274,0.2256,0.3402,-0.7326,0.0752,34.4474,136.538,0.9924,3.3585,0.6575,11.3746
8.0829,0.1968,0.3904,2.9432,0.0483,27.2919,99.1267,0.9962,3.1672,0.6811,9.1742
7.1496,0.3824,0.1995,1.4532,0.0579,19.8042,95.3266,0.9915,3.3305,0.7899,11.8633
8.6844,0.4806,-0.0079,1.7495,0.0944,21.1917,84.18,1.0014,3.1039,0.5739,9.8344
7.2004,0.1307,0.3995,3.671,0.0579,29.2604,120.4113,0.9961,3.4322,0.7112,11.039
6.8137,0.0069,0.2346,3.4501,0.0682,22.9403,90.1662,0.9943,3.343,0.5043,11.4663
7.7265,0.2816,0.5231,7.6981,0.0286,53.8112,181.7528,0.9971,3.345,0.6601,9.8716
6.1037,0.2735,0.5273,9.0678,0.0081,41.5868,156.1052,0.9962,3.3239,0.6174,10.6403
7.4128,0.324,0.6004,6.2933,0.0487,46.5319,165.3422,0.995,3.3149,0.5696,10.7186
7.7176,0.325,0.2394,0.5089,0.037,31.0822,116.1024,0.9935,3.2779,0.5567,11.1721
7.4716,0.1576,0.5085,8.2886,0.064,49.4179,174.0164,0.9938,3.0144,0.6382,9.9473
6.6937,0.5026,0.4913,7.3932,0.0507,46.3291,175.0299,0.9906,3.2399,0.3819,9.6276
8.2673,0.4676,0.4038,1.4786,0.0628,36.0744,143.9293,0.9926,3.4821,0.6901,11.4403
7.0426,0.2885,0.6836,8.576,0.0498,55.3081,199.3181,0.9912,3.2854,0.555,10.2895
6.5116,0.2062,0.2057,2.3823,0.0436,31.7923,118.6867,0.9935,3.1414,0.6288,12.2345
7.7745,0.1325,0.411,1.3712,0.0379,25.6767,96.7404,0.9911,3.4292,0.4883,10.9526
7.7001,0.3192,0.4653,1.5983,0.0261,38.0811,144.7483,0.9935,3.2845,0.6248,10.571
8.8274,0.416,0.0571,2.8181,0.0713,13.4397,68.6968,0.9953,3.0344,0.5281,9.5112
6.5726,0.4623,0.3818,8.8649,0.0627,42.4288,147.2351,0.996,3.2706,0.6366,9.8433
8.8227,0.3006,0.3175,-0.0133,0.0267,31.3112,122.6304,0.9934,3.0565,0.6212,12.4296
5.7862,0.3774,0.3292,5.5907,0.0347,42.2169,152.1323,0.9937,3.1531,0.4464,9.49
6.8041,0.3268,0.3461,9.029,0.0544,38.7819,149.3087,0.9963,3.1753,0.3994,10.9514
7.6987,0.3667,0.004,3.6554,0.0818,21.1951,85.3515,0.9992,3.1771,0.4364,8.9777
6.6728,0.387,0.3086,5.0061,0.0375,25.6568,108.6455,0.9947,3.3509,0.7885,11.0308
6.7303,0.2269,0.4818,7.0945,0.05,38.7941,139.4277,0.9931,3.1977,0.4354,11.0481
5.9903,0.1733,0.2255,0.8941,0.0439,30.5776,103.6118,0.992,3.1267,0.5235,13.0633
8.1928,0.585,0.1969,2.0229,0.0837,14.7056,66.1206,0.9961,3.24,0.5444,8.6467
9.8241,0.6079,0.084,2.6509,0.0656,9.5265,58.7349,0.9952,3.0809,0.5206,10.288
9.4901,0.4755,0.1188,0.949,0.0787,21.8355,102.3313,0.9988,3.0314,0.5393,10.263
7.6567,0.4814,0.4087,1.9291,0.0913,23.6376,97.6007,0.9939,3.0503,0.4416,10.2143
7.5949,0.4115,0.6154,6.3371,0.0632,43.4093,149.6497,1.0009,3.232,0.5963,10.9307
8.0937,0.492,0.1856,2.6674,0.076,23.7627,89.5891,0.9944,2.9879,0.4601,10.003
6.7079,0.1939,0.1927,6.389,0.0263,37.7141,134.9847,0.9968,3.1683,0.3558,10.1157
8.0344,0.7831,0.1148,2.8132,0.0812,16.4888,73.4998,0.997,3.508,0.5434,8.9507
6.4859,0.3638,0.4606,1.6791,0.0745,36.9827,135.4473,0.9915,3.4538,0.3215,10.9122
10.2005,0.6118,-0.1841,4.1282,0.0877,4.7512,31.845,0.9979,3.2646,0.2408,10.6601
6.7774,0.3637,0.2985,2.0363,0.0394,35.8539,125.3495,0.9929,3.3379,0.7607,11.4764
6.9751,0.1711,0.3938,8.5467,0.042,42.9102,153.3421,0.9937,3.2971,0.4047,10.9504
