id_usuario,edad,antiguedad_dias,num_depositos_mes,monto_total_depositado_mxn,monto_promedio_apuesta_mxn,num_apuestas_mes,num_sesiones_mes,duracion_sesion_min,pct_apuestas_nocturnas,num_juegos_distintos,pct_uso_bonos,indice_persecucion_perdidas,monto_total_retirado_mxn,perdida_neta_mxn
US00001,45,498,3,1344,79,26,6,30,17.4,9,14.6,0.233,381,963
US00002,46,1105,9,22042,940,118,17,46,40.1,6,2.3,0.326,14788,7254
US00003,41,380,3,1306,71,37,8,33,18.8,5,22.3,0,726,580
US00004,40,614,3,1438,63,41,6,46,37.2,4,23.9,0.042,736,702
US00005,40,1084,6,23185,689,100,17,44,40.7,5,19.7,0.364,9585,13600
US00006,52,523,3,1167,47,38,7,31,23.1,3,26.9,0.138,641,526
US00007,42,435,4,1015,34,43,6,37,35.4,5,16.9,0.161,510,505
US00008,39,462,4,1528,45,46,7,22,34.4,7,21.6,0.239,891,637
US00009,35,437,4,1140,52,37,7,21,32.1,4,24.4,0.243,500,640
US00010,43,857,11,25737,NA,105,20,56,44.7,5,20.2,0.243,16281,9456
US00011,23,203,5,4556,36,335,18,22,8.7,12,100,0.041,4583,-27
US00012,37,164,5,5034,51,123,18,16,14.3,13,93.4,0.116,5324,-290
US00013,31,489,21,18292,281,386,26,56,68.6,4,34.3,0.774,3340,14952
US00014,36,308,18,17884,191,360,57,85,61.8,2,17,0.817,2503,15381
US00015,42,354,3,1193,52,33,9,34,20.2,5,31,0.102,603,590
US00016,38,384,2,596,62,52,6,27,32.7,6,22.6,0.123,293,303
US00017,36,137,4,1495,36,49,7,23,24.9,4,26.1,0.1,606,889
US00018,34,453,1,1808,59,32,7,50,12.5,5,27,0.228,907,901
US00019,30,214,5,5356,NA,240,18,8,15.7,14,83.2,0.087,5899,-543
US00020,38,368,21,11405,188,336,41,98,59.1,6,17.1,0.748,2536,8869
US00021,50,377,4,768,61,20,10,37,31.5,6,17.7,0.16,327,441
US00022,36,240,31,17503,NA,308,44,135,79.6,3,26.4,0.772,4849,12654
US00023,24,216,6,3890,24,200,13,19,18.5,12,88.4,0.128,4115,-225
US00024,37,404,1,782,67,29,8,28,24.8,5,18.6,0.135,447,335
US00025,47,328,4,1345,86,31,7,33,19.4,4,18.3,0.032,713,632
US00026,27,259,3,4661,37,171,26,21,19.2,9,92.3,0.078,4787,-126
US00027,23,219,5,3777,39,209,16,10,35.7,11,93.3,0,3742,35
US00028,41,538,3,971,53,44,4,35,28,7,19.1,0.176,660,311
US00029,40,707,9,20200,844,83,12,59,33.9,3,5.1,0.241,9730,10470
US00030,32,772,3,619,79,32,7,33,26.3,7,25.8,0.195,309,310
US00031,39,279,2,975,85,36,9,30,25.1,4,15,0.157,483,492
US00032,25,227,5,4990,47,230,12,15,19.5,10,97.6,0.032,5582,-592
US00033,38,680,5,1429,57,40,5,37,21.2,4,18.9,0.16,556,873
US00034,46,562,4,30398,969,100,12,43,26.2,5,17.4,0.268,23889,6509
US00035,20,245,5,5098,41,265,18,19,29.9,10,97.1,0.149,5786,-688
US00036,41,473,3,625,70,31,9,30,18.6,6,26.8,0.157,347,278
US00037,29,330,2,936,60,40,7,36,20.8,7,41.8,0.137,475,461
US00038,36,459,2,1128,65,46,8,31,17.4,6,30,0.02,718,410
US00039,35,674,2,1059,34,35,4,13,32.7,7,22.5,0.12,537,522
US00040,40,477,3,1096,50,33,9,38,26.4,4,22.3,0.067,603,493
US00041,45,450,3,1288,60,28,6,26,20.6,5,40.1,0.178,749,539
US00042,51,585,4,810,75,27,7,26,28.2,4,16.6,0.046,335,475
US00043,38,839,8,18932,879,127,17,47,41.7,5,9.8,0.317,8599,10333
US00044,25,323,8,3308,58,273,18,18,12.3,13,86.6,0.154,2978,330
US00045,37,299,4,1114,71,40,9,33,19.9,3,15.6,0.106,483,631
US00046,36,276,6,6149,28,183,21,15,29.5,10,92.8,0.09,6214,-65
US00047,53,616,10,24985,664,99,19,40,29.6,5,17.6,0.223,13649,11336
US00048,43,456,21,14173,207,351,27,113,62.7,2,24,0.772,2746,11427
US00049,39,488,3,1082,69,43,7,24,28.8,7,11.4,0.172,390,692
US00050,41,389,3,1002,69,34,7,40,21.7,3,19.1,0.284,441,561
US00051,22,253,6,5114,NA,262,17,9,25.7,13,94.8,0,4968,146
US00052,43,551,4,1505,80,40,8,38,29,3,19.8,0.233,611,894
US00053,32,666,21,14110,252,364,29,106,68.7,4,23.5,0.654,479,13631
US00054,23,197,5,3855,56,228,19,19,21,11,93.4,0.057,4463,-608
US00055,32,538,28,11518,299,284,50,130,74.1,5,24.5,0.752,2508,9010
US00056,24,467,19,16216,252,316,48,75,65.5,5,16.5,0.859,2735,13481
US00057,40,341,3,858,75,35,6,28,0,5,21.8,0.18,411,447
US00058,36,427,3,995,79,42,8,30,18.4,5,23,0.221,663,332
US00059,35,211,7,4553,49,222,20,14,13.3,11,99.8,0.04,4938,-385
US00060,43,298,4,1309,NA,35,5,34,31.2,6,18.3,0.024,763,546
US00061,34,709,3,873,45,33,9,35,10.8,4,26.3,0.133,433,440
US00062,41,385,3,939,81,35,7,43,15.6,7,22.1,0.191,563,376
US00063,28,178,6,5422,47,238,18,25,12.2,10,92.3,0.134,4609,813
US00064,53,437,2,1030,57,41,7,18,16.3,6,22.6,0.221,540,490
US00065,29,949,30,12260,185,248,33,113,69.2,5,24.5,0.763,2663,9597
US00066,53,368,5,1001,85,26,5,25,14.2,3,30.6,0.173,521,480
US00067,30,632,4,1225,78,22,7,35,21.8,5,21.8,0.157,749,476
US00068,37,452,2,1176,67,34,7,34,26.8,5,26.4,0.113,536,640
US00069,49,504,3,1123,103,33,6,23,20.9,5,23.8,0.115,664,459
US00070,48,376,2,985,74,39,7,50,29.8,4,27,0.195,489,496
US00071,33,483,2,986,53,39,6,38,20.9,5,23.3,0.12,445,541
US00072,40,1037,7,14166,823,81,19,42,28.9,7,6.2,0.415,9555,4611
US00073,48,360,4,1198,71,31,8,32,32.7,5,23,0.186,554,644
US00074,42,737,6,18039,614,68,18,53,31.9,6,20.8,0.298,11765,6274
US00075,33,482,30,20107,319,333,35,103,69.3,5,16.4,0.751,2981,17126
US00076,29,554,22,15311,215,272,36,89,66.1,3,21.3,0.735,5035,10276
US00077,33,274,4,1169,69,36,8,26,10.7,5,22.5,0.148,614,555
US00078,21,179,7,4540,57,213,15,9,15.7,8,83.4,0.055,4605,-65
US00079,49,651,26,14808,246,285,55,102,64.7,3,26,0.749,3397,11411
US00080,18,246,3,5651,NA,191,16,16,12.7,11,91.4,0.151,6234,-583
US00081,41,789,11,24981,1054,86,14,39,36.3,6,10.2,0.355,17377,7604
US00082,22,856,15,14939,139,335,38,90,59.7,2,17.4,0.877,2124,12815
US00083,42,505,3,782,65,28,4,20,28.5,8,15.9,0.155,377,405
US00084,26,178,5,4080,34,254,23,19,19.2,11,100,0.024,4622,-542
US00085,30,830,23,16456,NA,352,42,91,67.5,4,27.4,0.799,4536,11920
US00086,51,571,7,23338,995,85,17,52,27.1,3,5,0.317,10741,12597
US00087,52,523,7,26762,853,120,18,46,29,7,9.8,0.239,12907,13855
US00088,34,576,32,12950,167,279,42,117,71.5,5,12.7,0.709,333,12617
US00089,39,494,4,664,65,32,7,23,22.8,4,26.3,0.194,230,434
