clave_municipio,pct_pobreza,pct_carencia_educativa,pct_carencia_salud,ingreso_promedio_mxn,pct_poblacion_rural,pct_acceso_internet,densidad_pob_km2,tasa_alfabetizacion,grado_marginacion_idx
MUN001,65.34,42.63,58.01,7710,73.4,24.27,45.28,79.67,1.16
MUN002,31.29,16.54,12.76,12124,17.27,79.36,71.31,99.96,0.59
MUN003,17.24,14.68,21.15,15009,5.42,76.31,1061.85,97.55,0.36
MUN004,51.65,27.46,36.38,6337,51.58,55,111.04,85.8,0.9
MUN005,69.03,46.05,56.87,5829,73.51,13.42,76.95,78.07,1.23
MUN006,61.95,41.58,45.41,5758,61.39,27.61,1,85.71,1.2
MUN007,24.68,9.02,9.78,13464,21.04,84.09,915.89,100,0.41
MUN008,25.03,14.87,21.38,16155,10.55,67.51,1098.59,92.17,0.47
MUN009,20.05,17.64,13.03,12461,30.37,63.72,566.49,98.93,0.35
MUN010,31.7,34.1,36.04,8678,42.18,44.64,608.94,86.1,0.64
MUN011,51.89,25.23,32.32,7066,47.79,61.49,227.29,84.02,0.82
MUN012,28.54,9.83,23.12,14324,21.29,83.81,1500.43,100,0.52
MUN013,80.73,63.76,66.42,3551,82.29,8.95,11.44,74.96,1.56
MUN014,81.03,61.46,66.94,6492,88.14,4.54,24.08,72.88,1.59
MUN015,34.64,22.49,31.86,7949,46.43,55.48,201.57,98.99,0.61
MUN016,54.89,38.05,51.6,2763,73.33,11.06,141.37,85.44,1.09
MUN017,53.05,42.66,45.61,5360,77.64,28.51,71.93,82.53,1.05
MUN018,23.23,11.08,6.13,12773,14.86,85.03,1312.38,86.45,0.43
MUN019,44.22,28.12,37.66,6911,35.48,57.32,236.44,89.31,0.73
MUN020,15.47,5.06,18.96,16767,26.91,78.42,1150.46,93.34,0.19
MUN021,65.38,42.21,40.76,8143,61.53,27.69,65.5,87.8,1.24
MUN022,50.91,38.21,55.79,2382,65.94,24.39,53.46,88.76,1.06
MUN023,42.14,31.1,36.22,7428,29.11,49.26,134.05,91.7,0.94
MUN024,66.39,49.11,45.76,4143,72.42,29.3,67.56,83.89,1.31
MUN025,52.31,44.53,48.1,5621,67.76,31.04,70.36,82.53,1.05
MUN026,69.24,47.07,63.02,7150,69.47,24.6,71.2,80.67,1.33
MUN027,47.58,23.44,25.7,9659,42.01,57.51,183.28,88.17,0.78
MUN028,39.29,27.53,32.65,11065,26.13,40.16,170.88,87.29,0.73
MUN029,15.1,5.2,2.39,15658,14.46,77.55,642.49,92.98,0.22
MUN030,54.94,44.4,53.76,NA,71.74,14.33,25.95,83.16,1.17
MUN031,66.89,56.6,46.2,4363,63.07,28.29,140.69,75.26,1.42
MUN032,23.79,14.84,8.47,14285,22.71,78.95,1613.39,97.61,0.43
MUN033,69.03,47.6,57.96,5853,61.75,21.12,45.32,79.36,1.34
MUN034,75.74,59.6,63.46,1500,91.46,10.83,52.54,61.61,1.51
MUN035,19.51,6.88,18.13,17131,15.85,82.4,975.82,100,0.25
MUN036,59.73,52.8,44.16,5438,77.55,19.74,168.52,84.78,1.25
MUN037,47.1,31.59,33.17,8029,33.42,58.85,473.22,90.48,0.86
MUN038,58.53,41.88,46.52,6284,72.58,29.8,116.24,82.53,1.17
MUN039,56.68,52.38,43.64,5056,69.05,33.35,128.17,87.4,1.21
MUN040,86.3,64,65.66,3418,86.44,18.34,50.62,71.77,1.63
MUN041,42.61,21.37,29.34,7104,30.45,45.61,223.53,86.22,0.74
MUN042,34.58,14.08,20.48,14370,3.28,85.65,743.3,98.47,0.47
MUN043,82.1,58.27,65.34,5748,82.5,14.63,24.15,73.65,1.62
MUN044,60.72,44.21,44.79,4814,67.63,33.01,105.91,76.86,1.16
MUN045,59.09,45.94,38.3,4790,83.55,35.6,54.49,76.13,1.25
MUN046,20,20.72,8.87,13539,12.45,82.07,1330.88,94.62,0.41
MUN047,72.74,63.95,66,4432,67.32,2.57,27.42,73.08,1.5
MUN048,47.63,23.86,28.48,5295,39.66,46.42,481.47,90.12,0.8
MUN049,81.68,55.81,60.16,4140,92.13,23.79,42.38,66.51,1.47
MUN050,52.54,24.47,28.25,8597,48.36,61.48,217.73,91.34,0.85
MUN051,25.08,1,19.82,14910,19.31,86.54,1547.86,96.05,0.3
MUN052,63.87,56.95,56.97,5404,62.81,24.85,130.28,84.48,1.35
MUN053,44.59,34.12,44.41,8387,34.96,60.65,685.2,95.81,0.88
MUN054,37.37,25.04,38.31,10391,37.09,38.64,372.82,93.49,0.7
MUN055,76.56,52.39,65.05,5863,81.32,13.05,41.76,73.39,1.48
