id_cliente,edad,dias_desde_registro,num_sesiones_mes,num_juegos_distintos,monto_apostado_mensual_mxn,monto_deposito_promedio_mxn,usa_app_movil,bono_reclamado,tasa_retorno_pct,prometedor
CL00001,65,71,4,5,707,296,si,si,95.9,no
CL00002,21,90,4,3,2605,1073,no,si,90.9,no
CL00003,37,171,4,8,1911,992,si,si,90.5,no
CL00004,41,227,4,2,1616,334,no,no,96.7,no
CL00005,69,200,1,1,1026,298,si,si,92,no
CL00006,50,241,5,10,5245,1371,no,si,90.9,no
CL00007,55,376,7,6,356,105,no,si,90.7,no
CL00008,50,441,6,5,697,388,si,si,90.1,no
CL00009,48,418,3,4,781,166,no,no,85.4,no
CL00010,66,127,0,5,634,187,si,si,87.7,no
CL00011,44,46,8,5,1532,590,si,si,93.5,no
CL00012,30,564,6,3,11720,4154,si,si,94.8,no
CL00013,69,95,11,5,837,342,no,no,96.2,no
CL00014,49,941,2,3,479,186,si,si,88.2,no
CL00015,63,139,3,2,4843,1367,no,si,94.4,no
CL00016,55,378,1,5,1938,617,si,no,93,no
CL00017,35,188,5,5,6245,2545,si,si,95.3,no
CL00018,30,433,5,2,1186,368,no,no,88,no
CL00019,50,312,1,6,1001,434,no,si,87.7,no
CL00020,59,30,7,4,676,400,no,no,89.1,no
CL00021,61,226,8,4,395,211,no,no,92.2,no
CL00022,29,75,11,4,4835,1196,si,no,92.6,no
CL00023,60,154,7,8,3254,1386,si,no,93.7,no
CL00024,19,365,2,5,1271,439,si,no,93.6,no
CL00025,33,232,9,4,1910,546,si,si,94.1,no
CL00026,35,520,4,3,1167,623,si,no,96.5,no
CL00027,44,104,1,6,3835,1819,si,no,92,no
CL00028,64,298,8,3,9838,3758,no,si,89.5,no
CL00029,40,90,8,4,1719,899,no,si,95.9,no
CL00030,57,99,3,3,1265,286,no,no,101.2,no
CL00031,66,87,10,5,1043,539,no,no,92.7,no
CL00032,70,98,4,2,2517,1507,no,no,90.8,no
CL00033,38,158,7,5,972,241,si,si,90,no
CL00034,67,438,4,2,7047,3231,si,no,92.2,no
CL00035,42,185,7,2,2019,1052,no,si,89.6,no
CL00036,38,415,5,2,5521,1537,no,no,87.3,no
CL00037,63,207,5,8,2907,797,si,no,88,no
CL00038,27,239,7,2,2463,805,no,no,92.4,no
CL00039,26,127,3,6,2698,1521,si,no,88.9,no
CL00040,25,228,8,2,952,522,si,no,87.1,no
CL00041,23,126,6,3,826,393,si,no,93.2,no
CL00042,26,143,6,2,923,406,no,no,84.4,no
CL00043,38,991,6,5,2656,739,no,si,88.4,no
CL00044,48,112,4,4,4031,1215,no,si,90.3,no
CL00045,22,65,8,4,913,455,si,no,92.2,no
CL00046,65,660,1,6,9438,1998,si,si,88,no
CL00047,57,313,9,4,2679,1515,si,si,85.5,no
CL00048,49,84,8,1,854,364,si,no,89.8,no
CL00049,38,279,7,4,233,107,si,no,91.9,no
CL00050,50,177,8,2,2785,1084,si,no,98.7,no
CL00051,65,487,7,3,493,NA,no,si,92.4,no
CL00052,21,326,5,7,290,92,no,no,94.2,no
CL00053,69,100,11,5,4732,2211,no,no,90.3,no
CL00054,48,139,2,2,1138,234,no,no,96.1,no
CL00055,41,84,8,3,3534,1735,no,no,85.8,no
CL00056,64,375,5,4,1670,582,si,no,89.4,no
CL00057,32,284,2,3,2415,1400,si,no,93.6,no
CL00058,59,270,11,4,28051,14244,si,no,94.3,si
CL00059,48,88,4,5,559,277,no,si,92.1,si
CL00060,31,391,10,3,857,372,si,no,93.3,no
CL00061,18,109,7,3,1096,646,si,no,91,no
CL00062,60,217,9,5,1229,638,si,no,97.4,no
CL00063,27,751,4,2,4087,1350,no,si,92.6,no
CL00064,20,285,7,2,450,264,si,no,93.7,no
CL00065,59,181,7,3,795,191,no,no,92,no
CL00066,42,177,4,2,7012,3428,si,no,94.1,no
CL00067,22,433,3,3,2638,1463,no,no,93.5,no
CL00068,53,444,2,5,6406,2736,si,no,83.9,no
CL00069,34,167,6,5,5480,2140,no,si,83.7,no
CL00070,56,73,6,5,3526,888,no,no,88.1,no
CL00071,21,88,8,5,938,211,no,no,95.6,no
CL00072,20,265,9,3,756,NA,si,no,88.4,no
CL00073,26,306,6,3,8590,2032,si,no,91.2,no
CL00074,45,145,7,5,425,121,no,no,88.7,no
CL00075,56,231,5,3,1091,504,si,no,93.6,no
CL00076,69,480,7,3,808,203,si,si,98.9,no
CL00077,57,228,7,5,534,113,no,no,92,no
CL00078,55,348,3,2,1721,404,no,si,93.6,no
CL00079,64,66,4,3,926,327,no,no,90.2,no
CL00080,26,71,5,1,3915,837,si,si,92.1,no
CL00081,56,101,8,6,5265,1172,no,si,94.1,no
CL00082,67,414,6,5,903,NA,si,no,97.9,no
CL00083,50,104,8,7,503,185,no,si,93.7,no
CL00084,19,231,3,3,1353,288,no,no,90.8,no
CL00085,25,264,6,2,120,60,si,no,93.2,no
CL00086,66,123,5,4,1701,616,no,no,92,no
CL00087,25,169,2,5,1268,385,si,no,88.2,no
CL00088,54,167,4,2,1250,306,si,si,89.8,no
CL00089,49,348,9,5,3361,1484,no,no,89.9,no
CL00090,59,198,7,3,1450,296,si,no,89.7,no
CL00091,39,152,6,8,676,NA,si,si,93,si
CL00092,60,372,4,5,1039,NA,no,si,101.1,no
CL00093,19,402,7,2,3436,1579,si,no,96.6,no
CL00094,61,366,9,4,771,255,no,no,89.3,no
CL00095,59,173,6,1,2576,1249,si,si,92.4,no
CL00096,18,134,3,6,3224,982,no,no,88.8,no
CL00097,43,265,8,8,2277,509,si,no,88.8,si
CL00098,56,239,4,2,8916,NA,si,no,98.2,si
CL00099,56,209,6,5,429,104,si,no,95.4,no
CL00100,18,333,4,1,7314,2421,si,si,92.2,no
CL00101,66,140,7,4,2649,634,no,no,93.6,no
CL00102,35,91,7,5,734,412,si,si,93.1,no
CL00103,28,417,5,3,492,NA,no,si,87.7,no
CL00104,41,554,10,2,2831,757,no,no,89.1,si
CL00105,53,118,8,3,1811,682,si,no,82.6,si
CL00106,66,303,5,1,559,229,si,si,95.7,no
CL00107,64,215,10,6,1246,571,si,no,92.4,no
CL00108,67,396,6,3,841,395,no,si,90.3,no
CL00109,65,162,8,5,547,246,no,si,91.5,no
CL00110,46,274,9,6,1091,452,no,no,85.6,no
CL00111,28,384,9,6,2056,1109,no,no,89.7,no
CL00112,42,73,10,2,1968,913,no,no,91.1,no
CL00113,31,97,5,5,6577,3496,si,no,87,no
CL00114,23,577,9,5,1213,508,no,si,92,no
CL00115,40,384,10,1,2203,1307,no,si,96.9,no
CL00116,20,410,7,2,1244,701,no,si,89.6,no
CL00117,28,690,4,3,3244,717,no,si,91.6,no
CL00118,36,187,8,5,3203,880,si,no,83.4,no
CL00119,64,239,4,3,153,49,no,no,86.7,no
CL00120,46,465,9,3,646,151,no,si,98.5,no
CL00121,57,27,3,4,1656,415,no,si,92.5,no
CL00122,34,103,7,4,488,165,no,no,90.5,no
CL00123,50,317,5,5,2243,814,si,no,91,no
CL00124,40,216,4,4,9572,5571,si,no,90.4,si
CL00125,56,117,10,5,168,82,si,no,88.3,no
CL00126,40,257,3,7,4845,2115,no,si,91.4,no
CL00127,21,401,4,5,5708,1943,si,no,93.9,no
CL00128,39,201,7,2,516,153,si,no,98.5,no
CL00129,41,193,6,6,395,95,no,no,86.9,si
CL00130,21,71,2,7,2101,439,si,no,94.9,no
CL00131,33,177,6,3,10239,3411,no,no,93.8,no
CL00132,40,121,7,5,4825,1063,si,no,86.6,no
CL00133,53,240,7,5,467,215,si,no,90.3,no
CL00134,63,368,3,8,2587,1227,si,no,92.7,no
CL00135,67,214,8,4,430,114,no,no,91,no
CL00136,69,12,3,5,918,267,no,si,93.4,no
CL00137,20,93,6,2,349,151,si,no,88.4,no
CL00138,60,40,5,3,734,270,si,no,92.6,no
CL00139,22,172,6,4,2535,705,no,no,87.1,no
CL00140,31,32,7,4,1116,260,no,si,89.8,no
CL00141,18,12,4,1,19365,8174,si,no,89.8,no
CL00142,25,84,5,3,1425,742,no,no,101.3,no
CL00143,52,146,5,3,535,312,si,no,89.7,no
CL00144,56,112,3,4,1687,515,si,si,87.8,no
CL00145,54,84,10,2,1545,845,si,no,92.7,no
CL00146,63,317,6,3,4514,1636,si,si,82.5,no
CL00147,50,10,9,1,4579,2138,no,no,91.3,no
CL00148,20,61,7,1,1549,851,si,no,89.9,no
CL00149,38,242,4,7,14345,6668,si,si,88.3,si
CL00150,44,420,5,8,13753,3431,si,si,92.1,no
CL00151,64,143,8,4,1987,NA,no,no,95.2,no
CL00152,21,99,3,5,723,283,si,no,94,no
CL00153,42,124,7,4,459,173,si,si,93.4,no
CL00154,23,101,7,3,268,62,no,no,90.7,no
CL00155,46,507,8,2,1814,463,si,no,88.5,no
CL00156,26,89,8,3,1077,389,no,no,93,no
CL00157,28,134,7,2,9372,3862,no,si,91.6,no
CL00158,43,541,5,5,88,31,no,si,87.2,no
CL00159,48,289,8,2,644,279,si,no,89.4,no
CL00160,60,159,5,5,2719,974,si,si,92.1,no
CL00161,47,182,4,2,798,437,no,no,101.7,no
CL00162,33,109,6,7,549,212,si,no,93.8,no
CL00163,56,302,4,3,3396,742,si,no,98.2,no
CL00164,30,384,8,4,3002,912,no,no,85.4,no
CL00165,24,22,7,2,523,NA,no,si,92.1,no
CL00166,33,131,7,4,5368,3167,no,no,89.2,no
CL00167,41,144,3,6,1135,551,no,no,90.2,no
CL00168,20,370,7,5,1070,248,no,no,86.9,no
CL00169,68,78,5,3,3393,830,no,no,94.1,no
CL00170,19,123,6,4,2702,1530,no,no,89.3,no
CL00171,58,296,5,5,1953,701,no,no,91.9,no
CL00172,30,1042,3,5,15138,8115,si,no,93.1,no
CL00173,36,111,6,3,15526,8952,no,no,88.3,no
CL00174,57,282,2,5,2183,1095,si,si,91.8,no
CL00175,61,99,5,4,757,260,no,si,93.8,no
CL00176,25,187,4,4,2908,1502,no,no,89.8,si
CL00177,23,361,6,1,8802,2392,si,si,92.6,no
CL00178,35,533,6,5,691,342,si,si,86.7,no
CL00179,70,49,7,4,4934,1770,no,no,93.2,no
CL00180,57,284,3,4,828,398,no,no,89.9,no
CL00181,31,76,3,3,5235,2040,si,no,95.1,no
CL00182,55,323,8,5,3551,1425,si,no,88.8,si
CL00183,63,71,9,5,3553,2018,si,no,92.8,si
CL00184,35,82,8,6,7601,3858,si,si,89.2,no
CL00185,62,421,3,2,2662,545,si,no,89,no
CL00186,63,79,3,4,3658,1799,si,no,95.8,no
CL00187,24,28,3,2,1290,575,no,si,91.1,no
CL00188,63,606,4,5,18613,9721,si,no,90.4,si
CL00189,37,264,10,3,2692,718,si,no,96.4,no
CL00190,52,39,6,2,881,321,no,no,93.5,no
CL00191,40,101,5,2,1894,967,no,no,87.2,no
CL00192,27,421,7,5,4501,1889,no,no,89.3,no
CL00193,31,104,5,6,1000,354,no,no,87.6,no
CL00194,31,203,5,4,277,80,si,no,92.4,no
