id_poliza,valor_auto_miles,valor_factura_miles,antiguedad_auto,km_anuales_miles,tipo_vehiculo,edad_conductor,anios_licencia,es_conductor_joven,siniestros_previos,multas_ultimo_anio,uso_principal,ciudad,tiene_garage,tipo_cobertura,forma_pago,prima_anual_mxn
1,440.4,455.3,5,21.3,compacto,48,24,no,0,1,mixto,CDMX,no,limitada,anual,11769
2,120,123.4,11,5.2,pickup,52,30,no,0,0,comercial,Otra,no,limitada,anual,4502
3,120,109.4,11,17.3,pickup,49,22,no,0,0,mixto,Guadalajara,si,limitada,anual,6137
4,169.5,180.2,3,6.5,hatchback,59,30,no,2,0,personal,CDMX,no,amplia,anual,10436
5,434.9,447.8,8,24.3,sedan,43,25,no,0,0,mixto,Otra,si,rc,anual,8356
6,595.5,603.7,8,21.2,compacto,69,42,no,1,0,mixto,Guadalajara,no,limitada,anual,12879
7,225.9,218.9,9,14.1,hatchback,46,21,no,0,1,personal,Guadalajara,no,amplia,anual,7291
8,204.9,201.8,11,23,suv,59,30,no,1,1,mixto,Guadalajara,no,limitada,anual,8173
9,218.7,223.8,6,13.1,suv,36,16,no,5,2,mixto,Otra,no,rc,anual,12381
10,256.2,257.6,4,2.6,sedan,47,23,no,0,0,mixto,CDMX,si,amplia,anual,7650
11,120,116.7,5,7.3,sedan,34,8,no,0,1,personal,CDMX,si,rc,anual,5659
12,703.8,725,2,15.4,suv,21,2,si,0,1,personal,Otra,si,amplia,anual,14457
13,467.8,479.4,0,10.4,suv,25,0,si,2,3,comercial,CDMX,no,amplia,anual,20356
14,359.2,372.1,6,17.4,sedan,68,38,no,2,2,personal,CDMX,si,limitada,anual,11547
15,146.3,142.1,7,NA,sedan,28,4,no,0,1,personal,Otra,no,amplia,anual,7283
16,275.4,264.5,6,14.1,hatchback,18,0,si,0,3,mixto,Monterrey,si,amplia,anual,13285
17,268.6,270.3,1,16.3,suv,37,18,no,0,0,personal,Monterrey,no,limitada,anual,9086
18,1225.5,1261.9,3,21.6,sedan,31,4,no,0,1,comercial,Otra,no,limitada,anual,21043
19,454.6,458.2,6,27,hatchback,50,28,no,1,0,personal,Guadalajara,si,amplia,anual,10032
20,916.9,924.7,5,2,sedan,39,14,no,0,1,personal,CDMX,si,limitada,anual,15807
21,249.1,254,5,21,sedan,43,24,no,0,0,mixto,Monterrey,no,amplia,anual,8100
22,285.8,297.1,10,11.3,compacto,37,15,no,2,0,comercial,NA,no,amplia,semestral,11593
23,640.4,658.4,3,15.9,suv,41,16,no,2,1,personal,CDMX,si,amplia,anual,16455
24,461.1,473.4,13,3.9,sedan,49,22,no,0,1,personal,CDMX,si,amplia,anual,10978
25,132.5,135.6,2,11.9,sedan,53,25,no,0,1,personal,Monterrey,si,amplia,anual,6393
26,331.1,339.9,15,23.5,sedan,32,11,no,1,0,personal,Otra,no,amplia,anual,8031
27,680.7,689.1,8,20.4,suv,67,43,no,1,0,mixto,Monterrey,no,rc,anual,12736
28,819.6,842.8,7,9.8,hatchback,56,35,no,3,0,personal,Guadalajara,NA,limitada,semestral,16917
29,864.8,875.6,7,17,suv,36,9,no,1,1,personal,CDMX,si,amplia,anual,19190
30,957.7,974,8,13.7,sedan,31,9,no,0,1,personal,Guadalajara,no,amplia,anual,16774
31,743.4,756,5,6.1,sedan,50,22,no,1,0,comercial,CDMX,no,amplia,anual,16063
32,149.1,159.1,13,11.7,hatchback,31,13,no,1,1,personal,Otra,si,amplia,anual,7134
33,495.8,505.7,3,24.1,sedan,26,1,no,0,1,personal,Otra,no,rc,anual,9285
34,218.8,218.9,14,13,sedan,22,0,si,3,0,personal,Guadalajara,no,amplia,anual,11057
35,230.1,240,8,9,compacto,45,20,no,0,2,personal,CDMX,si,amplia,anual,8559
36,120,128.6,1,20,sedan,50,24,no,1,0,mixto,NA,si,amplia,anual,8040
37,447.1,439.1,8,NA,compacto,32,13,no,0,1,personal,Guadalajara,si,amplia,anual,10930
38,993,1014.1,5,11.3,sedan,59,36,no,1,0,mixto,Otra,si,amplia,anual,15695
39,214.9,219.3,14,16.8,sedan,18,0,si,0,0,comercial,Otra,si,rc,anual,8025
40,307.3,309.3,5,2,suv,31,12,no,1,1,personal,CDMX,si,amplia,anual,11288
