id_sesion,edad,peso_kg,estatura_cm,genero,experiencia_meses,duracion_min,fc_promedio,fc_maxima,intensidad_rpe,temperatura_sala,tipo_ejercicio,turno,usa_smartwatch,kcal_quemadas
1,39,52.5,165,M,25,71,140,177,5,24.6,fuerza,vespertino,si,619.3
2,21,55.6,168,F,5,54,128,161,6,20.6,fuerza,matutino,si,501
3,35,95.7,NA,F,42,50,115,142,5,22.7,fuerza,vespertino,si,462.9
4,32,76.5,169,M,23,28,133,160,4,22.6,cardio_intenso,matutino,si,411.7
5,26,69.6,171,M,9,73,148,173,6,19.3,cardio_moderado,matutino,si,624.2
6,16,77.5,181,F,31,56,129,157,7,25.2,cardio_intenso,matutino,si,584.1
7,25,55.5,190,F,27,38,138,169,5,21.1,cardio_intenso,nocturno,si,498.6
8,22,70.3,169,F,11,33,141,167,4,24.4,cardio_intenso,vespertino,si,460.7
9,34,83.7,161,F,27,54,120,150,5,27.9,cardio_intenso,matutino,si,541
10,28,66.6,169,M,32,71,135,165,7,17,cardio_intenso,vespertino,si,608.6
11,29,64.6,157,F,19,49,133,165,8,NA,mixto,vespertino,si,446.9
12,25,63.1,169,M,23,67,98,130,1,17.7,mixto,matutino,si,508.5
13,31,93.8,167,M,14,58,141,165,4,28.7,cardio_moderado,vespertino,si,612.3
14,31,80.7,174,F,32,58,120,156,5,21.9,cardio_moderado,matutino,si,496.6
15,16,53,166,M,36,31,108,138,3,24.2,fuerza,vespertino,si,271.7
16,48,64.4,171,M,28,51,139,170,8,25.6,fuerza,vespertino,si,525.2
17,40,45.8,182,M,46,61,124,142,5,24.1,mixto,vespertino,si,566
18,35,74.3,166,M,13,72,131,158,5,25.9,mixto,vespertino,si,641
19,24,77.5,164,F,13,32,NA,173,1,20.6,cardio_intenso,vespertino,si,422.8
20,41,70.1,175,M,37,73,182,205,4,22.5,fuerza,vespertino,si,687.5
21,29,58.2,152,F,27,76,130,149,8,18.5,cardio_moderado,matutino,si,581.1
22,31,49.2,167,M,18,20,114,148,6,24,mixto,vespertino,si,342.3
23,18,66.3,151,F,23,15,144,162,7,23.7,fuerza,nocturno,si,323.6
24,49,45,162,M,35,29,160,187,10,23,cardio_intenso,nocturno,si,459.4
25,34,87.8,187,F,56,37,147,175,5,23.6,cardio_intenso,vespertino,si,502.9
26,54,64.2,182,M,41,30,117,141,4,23.9,mixto,matutino,si,330.2
27,52,45,181,F,54,61,114,148,4,20.2,cardio_intenso,nocturno,si,488.3
28,34,88.4,NA,M,33,75,NA,162,7,25.8,cardio_moderado,matutino,si,721.5
29,40,78.7,NA,F,21,71,99,124,8,20.9,fuerza,vespertino,si,525.5
30,52,45,155,F,24,47,171,205,6,23.2,mixto,vespertino,si,520
31,27,70.1,178,F,10,63,117,147,6,24.6,fuerza,vespertino,si,495.9
32,35,59.4,170,M,14,55,136,161,2,15.5,cardio_intenso,matutino,si,525.8
33,30,92.6,158,M,14,62,115,136,2,18.7,cardio_intenso,matutino,si,513.2
34,37,100.6,178,F,8,57,104,129,5,22.2,cardio_moderado,nocturno,si,495.1
35,35,76,170,M,32,32,137,157,3,22,fuerza,vespertino,si,366.2
36,46,87.9,168,M,32,34,NA,165,8,19.2,cardio_intenso,vespertino,si,495.5
37,40,94.5,178,F,18,101,105,140,5,NA,cardio_intenso,vespertino,si,800
38,23,67.7,172,M,33,21,147,172,9,24.3,mixto,matutino,si,383.6
39,39,80.8,153,F,30,62,133,166,5,15.8,mixto,vespertino,si,491.6
40,24,70.5,167,F,8,58,141,165,8,NA,cardio_moderado,matutino,si,596.5
41,20,65.6,159,M,5,67,NA,149,8,21.2,cardio_moderado,vespertino,si,569.3
42,42,79.2,181,F,46,51,149,165,5,18.7,cardio_moderado,vespertino,si,398.7
43,20,70.2,184,F,16,44,140,162,8,19.5,mixto,matutino,si,464.8
44,36,86.4,157,F,45,26,104,126,5,23.7,cardio_moderado,matutino,si,311.1
45,24,68.7,168,F,14,87,152,181,4,22.5,mixto,vespertino,si,685.4
46,49,59.8,166,F,55,33,102,133,5,21.9,cardio_moderado,matutino,si,227.1
47,41,81,177,M,8,54,100,126,6,23.4,cardio_intenso,nocturno,si,573.5
48,29,86.2,166,F,14,37,115,143,4,24.1,mixto,NA,si,384.2
49,42,52.7,170,F,23,62,140,165,7,18.5,mixto,matutino,si,538.4
50,38,54.7,169,M,9,45,137,164,8,19.9,fuerza,matutino,si,456.9
51,20,75.4,153,M,13,36,130,158,7,22,cardio_intenso,matutino,si,511.5
52,31,75.8,162,M,110,59,147,176,3,18.8,cardio_moderado,matutino,si,558.5
53,23,65.8,161,M,27,70,109,131,3,25.9,fuerza,vespertino,si,593.3
54,38,94.8,156,M,33,54,122,139,5,19.4,mixto,vespertino,si,461.2
55,26,50.9,165,F,25,45,104,137,7,19.6,fuerza,nocturno,si,371.6
56,30,53.3,157,M,3,43,147,178,6,20.3,fuerza,vespertino,si,486.5
57,19,68.6,178,M,24,29,129,157,8,22.7,cardio_intenso,vespertino,si,457.2
58,22,76.4,167,M,35,45,120,146,5,23.8,fuerza,vespertino,si,426.6
59,34,58,168,M,26,54,124,156,4,16.6,cardio_moderado,matutino,si,452.6
60,22,88.4,172,M,19,63,NA,183,4,29.7,cardio_moderado,vespertino,si,627
61,31,69.4,165,F,25,23,120,145,7,27.3,cardio_moderado,matutino,si,404.8
62,35,58.1,174,M,17,49,141,168,8,18.2,cardio_intenso,matutino,si,580.2
63,31,59.9,180,F,5,39,120,140,7,26.3,mixto,vespertino,si,433.8
64,30,61.3,163,M,10,53,153,178,1,20.2,cardio_intenso,matutino,si,584.4
65,16,79.4,160,M,6,67,114,156,1,20.9,mixto,matutino,si,543.8
66,30,59.3,186,F,21,49,141,178,7,22.4,cardio_moderado,vespertino,si,524.6
67,16,74.2,167,M,31,83,154,181,3,20.5,cardio_intenso,vespertino,si,760.4
68,46,56,172,F,17,15,109,134,6,22.5,cardio_moderado,matutino,si,230.9
69,22,74,178,F,7,78,143,168,6,20.4,mixto,vespertino,si,600.2
70,35,76.2,170,M,30,37,104,129,5,23.9,cardio_intenso,vespertino,si,494.6
71,39,91.8,156,F,13,54,NA,158,6,24,mixto,matutino,si,512.5
72,33,72.5,160,M,22,39,119,153,8,21.4,cardio_moderado,matutino,si,425.4
73,48,85.1,158,M,39,25,126,156,6,24.9,fuerza,matutino,no,370.4
74,24,49.5,159,M,21,95,142,167,6,26.9,cardio_intenso,vespertino,si,827.7
75,38,78.6,185,F,63,51,141,164,7,22,mixto,matutino,si,500.2
76,22,73.6,165,M,11,37,131,155,7,16.2,fuerza,vespertino,si,460.4
77,56,92.7,165,M,11,58,102,128,6,17.1,fuerza,vespertino,si,451.7
78,41,53.5,170,M,30,71,137,169,6,NA,cardio_moderado,matutino,si,660
79,29,84.7,157,M,29,56,136,161,4,19.8,mixto,vespertino,si,568.2
80,42,68.2,162,F,11,54,152,183,7,20.8,mixto,matutino,si,537.8
81,20,74.4,167,M,23,60,118,150,5,22.1,cardio_moderado,vespertino,no,585.5
82,50,73.6,159,F,18,57,121,149,6,18.8,mixto,vespertino,si,511.2
83,20,77.3,160,M,36,31,134,150,6,24,fuerza,vespertino,si,376.7
84,16,65.4,150,M,24,40,105,129,7,20.7,cardio_moderado,NA,si,404.6
85,32,78.1,153,F,4,53,142,163,6,23.7,cardio_intenso,nocturno,si,555.2
