ph,dureza_mg_l,solidos_disueltos_ppm,cloraminas_ppm,sulfatos_mg_l,conductividad_us_cm,carbono_organico_ppm,trihalometanos_ug_l,turbidez_ntu,potable
5.59,191.1,22720,9.98,313.7,435.6,12.81,33.4,3.83,no
6.34,175.2,27408,8.93,279,529.6,9.74,44.8,3.84,si
8.04,220.6,11398,6.98,288.5,234,17.25,101.2,4.11,no
6.16,185.9,25524,10.48,384.2,486.9,19.12,64.1,4.26,no
7.26,165.2,23984,4,283.5,442.5,16.62,84.5,4.56,no
6.45,197.2,22462,5.23,302.6,423.3,11.61,64.8,3.71,si
6.78,141.5,26823,6.1,342.6,525.5,14.17,69.2,2.63,no
7.53,163.4,16121,6.3,381.1,349.8,12.45,57.9,4.49,si
7.96,221.7,15676,7.43,366.7,318.7,9.61,64,3.08,no
7.63,169.5,26810,4.74,NA,481.2,15.76,47.5,3.22,no
4.59,235.3,37611,5.78,324.4,730.9,16.44,53.8,4.21,si
5.51,165.6,20537,7.16,291.9,390.6,14.77,74.2,4.14,si
6.24,175.8,23590,7.55,312.3,400,16.47,72.6,3.03,no
6.63,226.3,33015,6.3,404.1,615.5,6.94,50.7,3.27,no
8.94,197.9,15823,7.41,307.8,317.7,8.58,57.2,4.84,no
5.76,215.9,8732,4.77,366.8,217.9,19.56,80.1,4.09,no
8.78,208.7,32032,10.5,326.6,584.5,16.9,81.5,4.28,no
8.79,191.6,19044,7.07,309.7,369,8.6,89.3,3.07,no
4.72,179.2,23511,7.78,325.4,452.5,16.19,81.4,4.21,no
8.99,197.7,21500,7.32,352.3,415.2,16.28,76.8,4.28,no
6.42,209.4,30474,8.87,312,564.5,12.73,71.4,3.76,si
8.52,145.6,43616,4.25,396.5,811.8,9.48,91.1,3.72,no
5.74,214.3,21225,7.9,295.5,441.3,10.38,98,4.82,no
8.31,181.7,9574,7.53,361.1,133.9,16.92,76.7,2.93,si
8.41,183,24315,6.62,316.1,447.5,19.3,43.5,3.62,no
4.17,202.1,32607,3.58,377.8,621.7,12.35,63.9,4.21,no
8.74,265.2,27809,10.56,315.1,519,12.19,68.9,3.82,no
5.52,177.4,20086,9.19,324.7,383.3,16.69,78.9,4.01,no
6.81,199.9,17887,7.08,359.3,338.2,14.14,56.4,4.62,si
6.82,180.8,8398,6.91,376.1,166.6,10.41,46,3.28,si
6.1,167.1,19846,7.12,346.7,394.6,7.6,57.8,3.77,si
7.57,179.4,20649,10.11,342,379.5,12.77,68,4.35,no
9.38,108.3,26260,6.26,335.4,458.6,12.53,89.3,4.4,no
8.12,274.3,18567,6.9,365,348.9,11.08,38.1,3.92,si
7.67,173.6,30415,7.83,305,588.2,16.62,95.8,4.2,no
9.24,209.5,588,6.06,288.5,20.1,12.53,60.6,3.57,no
4.23,205.7,27288,7.85,296.1,503.5,13.5,43,3.71,no
6.34,211.1,17923,6.71,340,310.9,14.08,74.5,3.46,si
6.86,226.5,11760,5.64,NA,202,11.58,44.7,4.38,si
5.26,217,29722,7.47,366,582.2,12.2,65.6,2.74,no
5.77,200.6,22490,5.14,321.3,430.3,16.09,68.9,4.09,no
6.51,169.8,35912,9.23,285.2,607.4,16.24,63.6,3.64,si
4.05,131.9,16109,7.44,345.2,313.3,14.72,53,2.39,no
6.31,183.4,-7704,7.18,400.7,-127.6,13.17,90.9,4.24,no
8.66,136.9,31655,4.5,339.6,574.8,9.5,86.5,4.23,no
