id_transaccion,monto_transaccion_mxn,monto_promedio_historico_mxn,hora_del_dia,dias_desde_ultima_compra,num_transacciones_24h,distancia_km_domicilio,es_compra_internacional,categoria_comercio,fraude
TX000001,1639,1383,8,1,6,18.7,no,abarrotes,no
TX000002,155,129,4,14,6,24.5,no,entretenimiento,no
TX000003,2426,1352,0,18,5,26.6,no,abarrotes,no
TX000004,2023,2469,9,9,0,NA,no,restaurantes,no
TX000005,1817,1821,20,24,4,96.3,no,abarrotes,no
TX000006,285,553,16,20,8,95.7,no,servicios,si
TX000007,2634,2119,4,2,4,52.6,no,restaurantes,no
TX000008,181,284,23,5,1,49.3,si,entretenimiento,no
TX000009,2272,731,18,7,4,13.8,no,viajes,no
TX000010,416,257,20,10,1,73.6,no,viajes,no
TX000011,402,720,9,11,5,20.1,no,restaurantes,no
TX000012,1743,1469,19,16,3,12.2,si,electronica,no
TX000013,128,153,9,4,2,9.5,no,abarrotes,no
TX000014,717,949,7,4,2,63.3,no,abarrotes,no
TX000015,628,520,0,0,5,97.3,no,abarrotes,no
TX000016,1314,1396,8,3,2,13.5,no,electronica,no
TX000017,1140,1301,7,7,1,15.5,no,viajes,no
TX000018,2111,1097,0,27,4,38.9,no,viajes,no
TX000019,642,606,19,10,5,39.4,no,entretenimiento,no
TX000020,325,367,10,8,2,21,no,abarrotes,no
TX000021,630,580,23,35,4,193.7,no,restaurantes,no
TX000022,702,443,3,9,2,70,no,electronica,no
TX000023,136,194,16,22,2,62.8,no,servicios,no
TX000024,1395,804,20,1,3,4.4,no,viajes,no
TX000025,1719,860,23,1,4,10.9,no,servicios,no
TX000026,521,894,5,3,4,56.6,no,viajes,no
TX000027,1763,1904,18,12,4,11.3,no,entretenimiento,no
TX000028,1023,952,17,18,3,0.5,no,restaurantes,no
TX000029,918,685,12,9,4,28.7,no,electronica,no
TX000030,573,485,8,15,4,2,no,entretenimiento,no
TX000031,239,186,22,3,4,29.2,no,entretenimiento,no
TX000032,854,1057,20,2,5,76.8,no,electronica,no
TX000033,743,829,0,6,1,21.6,no,entretenimiento,no
TX000034,939,823,18,14,2,99.1,no,servicios,no
TX000035,1006,547,0,5,2,37.5,no,abarrotes,no
TX000036,2659,2158,7,20,8,10.7,no,restaurantes,no
TX000037,492,407,4,0,2,90.5,no,servicios,no
TX000038,290,323,15,15,2,22.1,no,restaurantes,no
TX000039,570,1052,22,11,7,4.3,no,servicios,no
TX000040,1257,1314,5,2,3,30.8,no,servicios,no
TX000041,852,449,21,14,4,NA,no,entretenimiento,no
TX000042,454,304,9,1,4,78.6,no,abarrotes,no
TX000043,2616,3652,11,7,5,22.7,no,restaurantes,no
TX000044,1206,1066,10,3,4,44.5,no,electronica,no
TX000045,659,612,11,3,2,57.7,no,servicios,no
TX000046,137,344,15,2,2,57.1,no,servicios,no
TX000047,410,555,3,6,9,66.5,no,entretenimiento,no
TX000048,871,839,19,10,4,6.1,si,abarrotes,no
TX000049,1108,1797,11,1,1,81.6,no,abarrotes,no
TX000050,1318,1611,2,15,2,40.6,si,servicios,no
TX000051,427,547,3,3,3,14.2,no,electronica,no
TX000052,382,268,22,1,1,51.1,no,entretenimiento,no
TX000053,1752,1413,9,1,3,10.7,no,restaurantes,no
TX000054,409,635,22,6,2,45.9,no,abarrotes,no
TX000055,446,570,6,3,2,8.1,no,viajes,no
TX000056,343,231,6,9,4,25.4,no,entretenimiento,no
TX000057,349,616,22,6,0,99.5,no,entretenimiento,no
TX000058,1169,696,22,9,1,6,no,abarrotes,no
