hogar_id,consumo_kwh,temp_promedio_c,grados_calor,metros_cuadrados,ocupantes,antiguedad_anios,aislamiento,tarifa_horaria
H0001,458.3364376632592,27.602945364592614,5.602945364592614,127.71558505821783,4,41,medio,fija
H0002,267.09028227169955,19.6015461882386,0,98.69213637570142,1,17,basico,fija
H0003,383.43301977719597,25.696190575096367,3.6961905750963666,152.72687143281365,2,24,medio,fija
H0004,355.8242521058321,24.576256075257117,2.576256075257117,58.734346746642096,3,27,medio,variable
H0005,481.62340031464936,21.66680192357702,0,89.31724687717738,5,34,basico,fija
H0006,374.7751220135546,12.419554839952717,0,135.28091396384502,3,9,basico,fija
H0007,305.82152647801547,21.324266012716613,0,72.24359883962666,3,25,medio,variable
H0008,318.4365850346427,19.899388684324535,0,50.29437243551406,2,26,basico,fija
H0009,397.60014524790836,25.567772206486534,3.5677722064865343,112.15126824525537,4,7,alto,variable
H0010,318.7121539434903,22.631045090799525,0.6310450907995246,74.6740865002062,5,7,basico,fija
H0011,274.0353450478459,22.95892647831036,0.9589264783103602,77.51859310043184,1,40,medio,variable
H0012,438.41478352890266,21.347833607031927,0,120.40983954568765,3,34,basico,fija
H0013,442.16851464595766,23.89281700296913,1.8928170029691316,192.8480819255683,4,16,medio,fija
H0014,431.311834984424,23.870917377855243,1.8709173778552426,93.45330700997695,6,27,medio,fija
H0015,305.4181383259482,12.265592769358522,0,128.16557100104558,2,22,medio,fija
H0016,261.7357643395499,31.73500749648516,9.73500749648516,43.73770431726031,2,14,alto,fija
H0017,373.20751311165134,28.082040729249847,6.082040729249847,94.95836110024666,2,35,alto,fija
H0018,298.0638805180367,26.08782169153944,4.087821691539439,50.0532029960004,1,15,basico,fija
H0019,251.56449857819464,20.976405847998684,0,50.703130864112175,2,26,medio,variable
H0020,462.37278574665913,28.448733888129098,6.448733888129098,150.60978932343951,2,32,basico,variable
H0021,424.1031975869819,23.356639929548802,1.3566399295488019,117.4658222145157,5,39,basico,variable
H0022,231.37345367578254,24.1765921153708,2.1765921153707986,112.55235382858562,3,15,medio,variable
H0023,342.81057789070616,18.03985560114348,0,76.3074791089406,2,41,medio,fija
H0024,452.35031180557894,32.329123806006955,10.329123806006955,58.738380472712066,4,51,basico,fija
H0025,258.80165810690926,25.241034041127218,3.241034041127218,106.92776932818093,3,26,medio,fija
H0026,335.12839670206745,34.54041917320995,12.540419173209948,61.959775322827035,2,13,medio,variable
H0027,522.413694505783,33.654722636186605,11.654722636186605,214.5849859620428,2,14,basico,fija
H0028,395.0451326261748,25.29072918629648,3.290729186296481,94.55533452087754,3,17,basico,fija
H0029,437.38557389559804,28.226640808875857,6.226640808875857,102.76732054993298,3,31,basico,fija
H0030,477.24523463985605,33.62814493253151,11.628144932531512,52.931493607497096,5,42,medio,fija
H0031,471.68511884238046,22.355165412718772,0.35516541271877244,110.3222406854127,4,24,basico,fija
H0032,212.79926945370914,25.831960128062754,3.8319601280627538,136.88975742982362,1,13,alto,variable
H0033,361.2798661422902,23.72638212618027,1.726382126180269,102.62998478595992,2,17,medio,fija
H0034,462.3346517581265,26.663911797189545,4.663911797189545,93.80601901718693,4,39,basico,fija
H0035,332.12946601276707,25.912164064138175,3.9121640641381745,159.12611520573589,4,5,alto,fija
H0036,483.6189207266856,30.82296874759001,8.82296874759001,118.31840586147946,6,24,medio,fija
H0037,437.54097269264213,27.96746425363934,5.9674642536393385,114.8701748058138,4,16,basico,fija
H0038,353.55010117537074,20.541101353913156,0,133.60075581374412,3,35,medio,variable
H0039,383.59226357181456,27.886266551787013,5.886266551787013,103.69455130966921,3,28,basico,fija
H0040,552.7312527221576,20.875472094709785,0,276.4326127971717,3,20,basico,fija
H0041,370.9925060632777,19.21373071188279,0,103.98756954901562,3,1,basico,fija
H0042,447.79246164724526,28.889993870031066,6.889993870031066,133.9485787226802,2,27,basico,fija
H0043,317.06041178286864,18.978891070134665,0,126.79122452880944,6,9,alto,fija
H0044,477.79070112358113,26.5335705107384,4.5335705107384,118.26980450651857,4,17,basico,fija
H0045,439.7483718618047,20.83170729678972,0,133.11432393580603,4,44,basico,fija
H0046,420.8485033542506,32.09070581751874,10.090705817518739,104.01091513588864,2,47,medio,fija
H0047,354.740962880652,28.558930589253592,6.558930589253592,46.720129441086826,2,38,medio,fija
H0048,195.33340140306407,22.987511385688133,0.9875113856881335,69.51405050443881,2,26,alto,variable
H0049,583.5731308432627,28.996811093572543,6.996811093572543,208.89201228305134,4,16,basico,fija
H0050,455.31471212419444,27.13242217778474,5.13242217778474,180.2051660816295,3,30,basico,variable
H0051,291.2919917000862,19.150506650321887,0,88.53961270595936,1,35,basico,variable
H0052,308.1485411973293,23.968999198534906,1.968999198534906,38.179598483397825,3,35,alto,fija
H0053,219.81263416826232,20.34694845378194,0,70.52168882948119,3,8,alto,fija
H0054,365.8709247575836,27.246987828958687,5.246987828958687,54.319135874139704,2,9,basico,fija
H0055,197.37034343126123,21.775967727188434,0,51.13159374855067,2,13,medio,fija
H0056,468.00994490392543,23.84288655094521,1.8428865509452095,128.29381925147433,6,29,basico,fija
H0057,296.7220567814473,18.81815994277315,0,96.11278395061301,1,6,basico,fija
H0058,444.9536990359158,20.195223508884922,0,152.20461505548826,2,35,medio,fija
H0059,256.0317680250566,25.669781407847807,3.6697814078478075,57.853598255267464,4,5,medio,variable
H0060,218.74811672200545,20.00473638515358,0,64.7420860172789,1,29,medio,variable
H0061,397.6678761446209,24.292646545933934,2.292646545933934,115.18753912377403,2,23,medio,fija
H0062,401.3646886808127,25.836649498244064,3.836649498244064,137.90726343621807,4,25,alto,fija
H0063,359.98255403060057,24.006056936641595,2.0060569366415955,86.57731753629747,2,49,medio,fija
H0064,339.3627715926123,23.543964059539515,1.5439640595395154,65.64027085132908,5,23,medio,variable
H0065,469.7292364258442,16.32801482875356,0,176.02362742373546,3,24,medio,fija
H0066,533.2840115513266,23.636358341336983,1.636358341336983,165.88858126901292,3,20,basico,variable
H0067,421.7993591420009,16.000352591515885,0,133.19947628185668,2,34,basico,fija
H0068,436.19721002983283,30.76370488401519,8.76370488401519,122.349921261994,3,42,alto,fija
H0069,325.27577285775715,19.983402572039978,0,60.562727743335756,4,11,basico,variable
H0070,359.27821428160735,25.741050221462693,3.741050221462693,45.22675207844505,2,27,basico,fija
H0071,530.3500201692682,27.597483403745883,5.597483403745883,193.488652234121,3,3,basico,fija
H0072,384.83336418269903,25.027181472378807,3.027181472378807,102.15744984335274,1,44,basico,variable
H0073,463.30693417041675,31.735104173269704,9.735104173269704,68.9349639830698,4,30,basico,variable
H0074,489.61606014474796,20.764832913520024,0,156.85307894453308,3,44,basico,variable
H0075,477.868339928819,27.21699008657886,5.2169900865788605,74.18792751956315,4,18,basico,fija
H0076,408.40259316716345,20.114252658383432,0,78.32543141461993,4,28,medio,fija
H0077,350.2160719420484,35.622455677568034,13.622455677568034,107.45400791834886,1,40,medio,variable
H0078,325.88318610207114,28.438494802807707,6.438494802807707,56.44095576344703,1,31,basico,fija
H0079,452.93666224126696,23.28315889909802,1.2831588990980194,77.16309706715163,3,36,medio,variable
H0080,449.9773473043985,28.92584736336973,6.92584736336973,63.47073942646723,6,41,alto,fija
H0081,225.90540720109945,19.222112696147413,0,138.78154556653553,4,20,alto,variable
H0082,449.2415321965899,32.54458173196349,10.54458173196349,103.27740165149027,1,26,basico,fija
H0083,405.16077593999967,19.222519198713222,0,83.16586189395893,5,25,basico,fija
H0084,387.2397252406423,17.21594094896658,0,146.10642769654595,1,18,medio,variable
H0085,328.1244690070983,24.723760373882218,2.723760373882218,90.54732728829438,4,0,basico,variable
H0086,445.86800087537216,29.245965813513575,7.245965813513575,85.33722083919838,5,17,basico,fija
H0087,517.1877181554025,24.944516387481706,2.9445163874817055,96.44473561753459,3,44,basico,fija
H0088,353.0306907239705,21.198430841096407,0,73.40847939341546,2,54,basico,fija
H0089,342.3062823530348,30.8789962583812,8.8789962583812,93.85619284510632,2,11,medio,fija
H0090,501.6170181673677,37.07224854517379,15.072248545173792,127.44733393546417,4,16,basico,fija
H0091,344.2833280782481,15.207436158869344,0,98.79735027801289,5,0,basico,fija
H0092,403.2202959483134,32.367949467149,10.367949467149003,162.52262457892357,1,28,medio,fija
H0093,310.3049861320312,22.625580192506348,0.625580192506348,74.74736729350654,3,17,medio,variable
H0094,380.5560539866033,29.905854918929368,7.905854918929368,82.58180669439291,3,8,basico,fija
H0095,505.53379147925114,15.878223902317197,0,146.86965489534393,4,20,basico,fija
H0096,226.87932078517744,23.69694591323866,1.696945913238661,60.311701761271735,2,11,medio,variable
H0097,243.1778984478248,20.205773437131697,0,56.18669271064133,3,36,alto,variable
H0098,417.153652699403,22.548521449667376,0.5485214496673763,115.2769155717405,6,30,medio,fija
H0099,335.74667251273866,19.613516431996718,0,79.73311354838887,5,25,alto,fija
