ruta,km,tiempo
Ruta_A,10,8.04
Ruta_A,8,6.95
Ruta_A,13,7.58
Ruta_A,9,8.81
Ruta_A,11,8.33
Ruta_A,14,9.96
Ruta_A,6,7.24
Ruta_A,4,4.26
Ruta_A,12,10.84
Ruta_A,7,4.82
Ruta_A,5,5.68
Ruta_B,10,9.14
Ruta_B,8,8.14
Ruta_B,13,8.74
Ruta_B,9,8.77
Ruta_B,11,9.26
Ruta_B,14,8.1
Ruta_B,6,6.13
Ruta_B,4,3.1
Ruta_B,12,9.13
Ruta_B,7,7.26
Ruta_B,5,4.74
Ruta_C,10,7.46
Ruta_C,8,6.77
Ruta_C,13,12.74
Ruta_C,9,7.11
Ruta_C,11,7.81
Ruta_C,14,8.84
Ruta_C,6,6.08
Ruta_C,4,5.39
Ruta_C,12,8.15
Ruta_C,7,6.42
Ruta_C,5,5.73
Ruta_D,8,6.58
Ruta_D,8,5.76
Ruta_D,8,7.71
Ruta_D,8,8.84
Ruta_D,8,8.47
Ruta_D,8,7.04
Ruta_D,8,5.25
Ruta_D,19,12.5
Ruta_D,8,5.56
Ruta_D,8,7.91
Ruta_D,8,6.89
