anio,% Privada,% Pública,total
1993,19,3.6,22.6
1994,17.8,4.6,22.4
1995,14,3.4,17.4
1996,16.9,2.8,19.7
1997,18.3,2.7,21
1998,19.9,2.4,22.3
1999,19.3,2.5,21.8
2000,19.3,2.9,22.2
2001,17.2,3.3,20.5
2002,16.9,3.9,20.8
2003,16.8,4.2,21
2004,17.2,4.5,21.7
2005,17.1,4.8,21.9
2006,18.2,4.7,22.9
2007,19,4.9,23.9
2008,19.2,6.1,25.3
2009,18.1,5.5,23.6
2010,18,5.9,23.9
2011,20.9,5.2,26.1
2012,20,4.7,24.7
2013,18.4,4.7,23.1
2014,19.6,4.2,23.8
2015,21.1,3.6,24.7
2016,21.8,3.5,25.3
2017,20.7,3.4,24.1
2018,20.3,3.1,23.4
2019,19.3,2.5,21.8
2020,18.2,2.4,20.6
2021,19.6,2.7,22.3
2022,19.8,3,22.8
2023,20.7,3.6,24.3
2024,20.3,4.1,24.4
2025,19.5,3.4,22.9
